Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
andy,6,safely oar,0.142007828,0.362330198,0.210627556,0.220322371,0.151702642,0.279990435,0.084831953,0.128287792,0.195158482,0.282687426,0.109656334,0.087528944,0.173031092,0.32067275,0.132142067,0.147641659,0.188530684,0.261242867,0.16544795,0.072712183,0.095794916,0.234022617,0.06597662,0.138227701,0.168045998,0.320429325,0.169037104,0.152383327,0.151392221,0.227205038,0.071640253,0.075812817,0.155564785,0.228187084,0.086066008,0.072622299,0.142121077
andy,6,stoned oar,0.163839102,0.237089634,0.075056791,0.073250532,0.162032843,0.227512836,0.095794678,0.065479994,0.131718159,0.23746109,0.075676918,0.105742931,0.161784172,0.266227484,0.072845697,0.104443312,0.193381786,0.253599167,0.11280179,0.060217381,0.140797377,0.206641436,0.067459106,0.065844059,0.139182329,0.265198946,0.086357594,0.126016617,0.178841352,0.251248598,0.082551956,0.072407246,0.168696642,0.226681471,0.069194794,0.057984829,0.157486677
andy,4,stun dames,0.14509201,0.218276024,0.080891848,0.073184013,0.137384176,0.223335743,0.098130226,0.085951567,0.125205517,0.224782467,0.0792768,0.09957695,0.145505667,0.22504878,0.079445362,0.079543114,0.145603418,0.251164913,0.102799654,0.105561495,0.148365259,0.207486391,0.069509745,0.059121132,0.137976646,0.207565308,0.071855545,0.069588661,0.135709763,0.254716873,0.10571146,0.119007111,0.149005413,0.225081205,0.049997807,0.076075792,0.175083399
andy,5,pushy tarn,0.157567978,0.300336123,0.134105921,0.142768145,0.166230202,0.252277374,0.087019444,0.086047173,0.165257931,0.506862879,0.32123518,0.341604948,0.185627699,0.234963894,0.116052628,0.049336195,0.118911266,0.246336937,0.09856534,0.127425671,0.147771597,0.241168976,0.108057737,0.093397379,0.133111238,0.277587652,0.106940269,0.144476414,0.170647383,0.238311768,0.111135006,0.067664385,0.127176762,0.17501688,0.07266283,0.047840118,0.10235405
andy,6,dieted rut,0.155151129,0.378456354,0.217780113,0.223305225,0.160676241,0.229786634,0.093067169,0.069110394,0.136719465,0.272422314,0.124705553,0.135702848,0.147716761,0.329081774,0.10796237,0.181365013,0.221119404,0.254897594,0.13911438,0.033778191,0.115783215,0.211969852,0.042843103,0.096186638,0.169126749,0.245752573,0.141850471,0.076625824,0.103902102,0.173429489,0.049516439,0.069527388,0.12391305,0.283687353,0.142113924,0.159774303,0.141573429
andy,3,mad wabble,0.155289173,0.234702587,0.091735601,0.079413414,0.142966986,0.238083601,0.072559834,0.095116615,0.165523767,0.245422602,0.106676817,0.079898834,0.138745785,0.186274052,0.055847168,0.047528267,0.130426884,0.196233511,0.040366173,0.065806627,0.155867338,0.143088341,0.066265583,-0.012778997,0.076822758,0.242526531,0.123419762,0.165703773,0.11910677,0.171939135,0.04036808,0.052832365,0.131571054,0.18898344,0.075753689,0.057412386,0.113229752
andy,4,tons geoid,0.140446186,0.207263708,0.083542824,0.066817522,0.123720884,0.193687439,0.070135832,0.069966555,0.123551607,0.192856789,0.064671755,0.069305182,0.128185034,0.227243662,0.098741293,0.099058628,0.128502369,0.200717449,0.092075348,0.07221508,0.108642101,0.382077694,0.224462509,0.273435593,0.157615185,0.269245386,0.144211531,0.111630201,0.125033855,0.237254858,0.095151424,0.112221003,0.142103434,0.213320732,0.092563391,0.071217299,0.120757341
andy,4,knob atoms,0.107679605,0.310170412,0.184271574,0.202490807,0.125898838,0.201065302,0.069207668,0.075166464,0.131857634,0.295244217,0.147312403,0.163386583,0.147931814,0.292825222,0.16392231,0.144893408,0.128902912,0.227290392,0.092685461,0.09838748,0.134604931,0.175307989,0.065867186,0.040703058,0.109440804,0.253442764,0.150208712,0.144001961,0.103234053,0.188794136,0.054148436,0.085560083,0.1346457,0.200334787,0.082086086,0.065689087,0.118248701
andy,4,doxy grata,0.176319122,0.285840511,0.104138136,0.109521389,0.181702375,0.320073128,0.172757149,0.138370752,0.147315979,0.315474272,0.190424919,0.168158293,0.125049353,0.265966415,0.140036106,0.140917063,0.125930309,0.217332363,0.089084148,0.091402054,0.128248215,0.327518463,0.196618557,0.199270248,0.130899906,0.236736059,0.072163582,0.105836153,0.164572477,0.292291403,0.128088474,0.127718925,0.164202929,0.282664061,0.105720758,0.118461132,0.176943302
andy,5,bosun swan,0.143212318,0.225860834,0.066779613,0.082648516,0.159081221,0.300804615,0.145835161,0.141723394,0.154969454,0.218923569,0.105731964,0.063954115,0.113191605,0.218638897,0.076706648,0.105447292,0.141932249,0.220644712,0.088520765,0.078712463,0.132123947,0.263145685,0.161252022,0.131021738,0.101893663,0.298284769,0.169880629,0.196391106,0.12840414,0.240381718,0.078696728,0.111977577,0.16168499,0.168689966,0.065713167,0.007004976,0.102976799
