Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
qikai,4,awol plead,0.100541592,0.317699432,0.216456652,0.217157841,0.101242781,0.22859621,0.151393652,0.12735343,0.077202559,0.237784147,0.175921917,0.160581589,0.06186223,0.179024696,0.078999281,0.117162466,0.100025415,0.268899918,0.163799286,0.168874502,0.105100632,0.194770813,0.093974829,0.089670181,0.100795984,0.164912224,0.061120749,0.06411624,0.103791475,0.175368309,0.067954779,0.071576834,0.10741353,0.303946733,0.229390621,0.196533203,0.074556112
qikai,5,acute prom,0.083624601,0.239132643,0.162719965,0.155508041,0.076412678,0.194612503,0.133418322,0.118199825,0.061194181,0.127357483,0.057193041,0.066163301,0.070164442,0.189833641,0.095251083,0.119669199,0.094582558,0.188470125,0.076343775,0.093887568,0.11212635,0.181626797,0.102021456,0.069500446,0.079605341,0.11850214,0.057766676,0.038896799,0.060735464,0.187340975,0.118928432,0.126605511,0.068412542,0.203851223,0.127661705,0.135438681,0.076189518
qikai,5,alkyd hoax,0.1024158,0.541734695,0.452903271,0.439318895,0.088831425,0.24015379,0.176462173,0.151322365,0.063691616,0.418684006,0.330151081,0.35499239,0.088532925,0.242500544,0.143738508,0.153967619,0.098762035,0.201195002,0.093876362,0.102432966,0.10731864,0.40151453,0.366560221,0.29419589,0.034954309,0.524860382,0.446961403,0.489906073,0.077898979,0.148771048,0.087516308,0.070872068,0.06125474,0.426669359,0.339696169,0.365414619,0.08697319
qikai,4,lamb ajuga,0.086418152,0.24684906,0.196094275,0.160430908,0.050754786,0.19938755,0.125023127,0.148632765,0.074364424,0.501196861,0.394220829,0.426832438,0.106976032,0.356538057,0.252251863,0.249562025,0.104286194,0.900485992,0.810961962,0.796199799,0.089524031,0.760349989,0.698926449,0.670825958,0.06142354,0.254102468,0.182913303,0.192678928,0.071189165,0.500078201,0.33251071,0.428889036,0.167567492,0.283913612,0.163669348,0.116346121,0.120244265
qikai,3,emu supply,0.111508369,0.202072859,0.109488726,0.090564489,0.092584133,0.265975237,0.191495895,0.173391104,0.074479342,0.179511547,0.062578678,0.105032206,0.116932869,0.178510189,0.072053909,0.06157732,0.10645628,0.164870501,0.099075794,0.058414221,0.065794706,0.315455914,0.232944012,0.249661207,0.082511902,0.234613895,0.138564825,0.152101994,0.09604907,0.207968712,0.107801914,0.111919641,0.100166798,0.207156897,0.135108709,0.106990099,0.072048187
qikai,6,wabble bra,0.124291658,0.158324003,0.085304737,0.034032345,0.073019266,0.240612984,0.169511557,0.167593718,0.071101427,0.199832678,0.133702517,0.128731251,0.066130161,0.181694031,0.080843449,0.115563869,0.100850582,0.199826956,0.086357117,0.098976374,0.113469839,0.223062992,0.1080966,0.109593153,0.114966393,0.242412567,0.158886194,0.127446175,0.083526373,0.186882496,0.080501556,0.103356123,0.106380939,0.166422129,0.065235615,0.060041189,0.101186514
qikai,3,sex crouch,0.077996969,0.175999641,0.125997782,0.098002672,0.05000186,0.251113892,0.172000408,0.201112032,0.079113483,0.267998219,0.121999979,0.188884735,0.14599824,0.32422924,0.225997448,0.178231001,0.098231792,0.281371117,0.162370205,0.183139324,0.119000912,0.159999132,0.123005152,0.04099822,0.03699398,0.248994827,0.161997557,0.212000847,0.086997271,0.194254875,0.102995872,0.107257605,0.091259003,0.149305582,0.06200099,0.058046579,0.087304592
qikai,3,axe armory,0.091424465,0.369953394,0.285959721,0.278528929,0.083993673,0.235859632,0.169857264,0.151865959,0.066002369,0.153971434,0.063103199,0.087969065,0.090868235,0.145866394,0.076869488,0.054998159,0.068996906,0.199999809,0.1390028,0.131002903,0.060997009,0.156210423,0.083353996,0.095213413,0.072856426,0.226741791,0.149740934,0.153885365,0.077000856,0.167001486,0.096000433,0.090000629,0.071001053,0.253000498,0.157999754,0.181999445,0.095000744
qikai,4,nods shelf,0.065072536,0.212000608,0.137001991,0.146928072,0.074998617,0.143001318,0.039001465,0.068002701,0.103999853,0.158001423,0.065005541,0.05400157,0.092995882,0.18499589,0.096990108,0.092000008,0.088005781,0.16300416,0.083009243,0.074998379,0.079994917,0.148992062,0.082998276,0.068997145,0.065993786,0.169055223,0.11530757,0.103061438,0.053747654,0.184304476,0.114753485,0.130556822,0.069550991,0.145997763,0.058085918,0.076446772,0.087911844
qikai,6,gnarrs gal,0.119003057,0.295004845,0.209002018,0.176001787,0.086002827,0.174001455,0.073002577,0.087998629,0.100998878,0.204996347,0.142082453,0.103997469,0.062913895,0.183858395,0.115335941,0.1209445,0.068522453,0.212117434,0.127876282,0.14359498,0.084241152,0.189752817,0.094246387,0.105511665,0.09550643,0.182266712,0.064262152,0.086760283,0.11800456,0.185672522,0.083495378,0.067667961,0.102177143,0.172732353,0.104554415,0.07055521,0.068177938
