,Results,Prediction,Accuracy,"cy, jc, jonah 113/144"
172,cy,jc,0.9993498,Nope
173,cy,cy,0.5117153,Match
174,cy,cy,0.9999763,Match
175,cy,cy,0.9998764,Match
176,cy,cy,0.9991553,Match
177,cy,cy,0.9999459,Match
178,cy,cy,0.7912646,Match
179,cy,cy,0.9999739,Match
180,cy,cy,0.9982735,Match
181,cy,jonah,0.9723555,Nope
182,cy,jonah,0.7047313,Nope
183,cy,jonah,0.981106,Nope
184,cy,jc,0.98626304,Nope
185,cy,cy,0.96802956,Match
186,cy,cy,0.9999759,Match
187,cy,jonah,0.71421635,Nope
188,cy,jonah,0.9677357,Nope
189,cy,jonah,0.9362301,Nope
190,cy,jonah,0.9621533,Nope
191,cy,cy,0.9999776,Match
192,gerald,jonah,0.98092884,Nope
193,gerald,jonah,0.9673186,Nope
194,gerald,jonah,0.9997336,Nope
195,gerald,jonah,0.99569666,Nope
196,gerald,jc,0.9996039,Nope
197,gerald,jonah,0.9996637,Nope
198,gerald,jonah,0.9989416,Nope
199,gerald,jonah,0.9996458,Nope
200,gerald,jonah,0.99974984,Nope
201,gerald,jonah,0.9996544,Nope
202,gerald,jc,0.999589,Nope
203,gerald,jonah,0.9997347,Nope
204,gerald,jc,0.5420475,Nope
205,gerald,jonah,0.51822305,Nope
206,gerald,jonah,0.90637964,Nope
207,gerald,jonah,0.52434057,Nope
208,gerald,jc,0.9995869,Nope
209,gerald,jc,0.53986174,Nope
210,gerald,jonah,0.5115075,Nope
211,gerald,jonah,0.69976956,Nope
212,gerald,jonah,0.99506617,Nope
213,gerald,jonah,0.63156205,Nope
214,gerald,jc,0.999595,Nope
215,gerald,jonah,0.6508609,Nope
216,gerald,jonah,0.99972016,Nope
217,gerald,jonah,0.9997421,Nope
218,gerald,jonah,0.9806964,Nope
219,gerald,jonah,0.9591598,Nope
220,gerald,jc,0.99958366,Nope
221,gerald,jonah,0.9996284,Nope
222,gerald,jonah,0.8761042,Nope
223,gerald,jonah,0.9201117,Nope
224,gerald,jonah,0.93887043,Nope
225,gerald,jc,0.72936255,Nope
226,gerald,jc,0.9996012,Nope
227,gerald,jonah,0.89697605,Nope
228,gerald,jc,0.9995659,Nope
229,gerald,jc,0.9995223,Nope
230,gerald,jc,0.99950564,Nope
231,gerald,jc,0.99956864,Nope
232,gerald,jc,0.99954826,Nope
233,gerald,jc,0.9995377,Nope
234,gerald,jonah,0.84481,Nope
235,gerald,jonah,0.91200316,Nope
236,gerald,jonah,0.9525935,Nope
237,gerald,jc,0.57323736,Nope
238,gerald,jonah,0.9996433,Nope
239,gerald,jonah,0.87636244,Nope
240,jc,jonah,0.9852014,Nope
241,jc,jc,0.540017,Match
242,jc,jonah,0.90561604,Nope
243,jc,jc,0.9964372,Match
244,jc,jc,0.9975923,Match
245,jc,jc,0.999424,Match
246,jc,jonah,0.87929004,Nope
247,jc,jc,0.98079085,Match
248,jc,jc,0.715098,Match
249,jc,jc,0.9937039,Match
250,jc,jc,0.9931994,Match
251,jc,jc,0.9995976,Match
252,jc,jc,0.70311505,Match
253,jc,jonah,0.6739712,Nope
254,jc,jonah,0.8304588,Nope
255,jc,jc,0.979126,Match
256,jc,jc,0.9437844,Match
257,jc,jc,0.9991843,Match
258,jc,jc,0.8912841,Match
259,jc,jonah,0.62866664,Nope
260,jc,jonah,0.69642144,Nope
261,jc,jc,0.90750986,Match
262,jc,jc,0.91986704,Match
263,jc,jc,0.9992613,Match
264,jc,jc,0.9544103,Match
265,jc,jc,0.91522855,Match
266,jc,jonah,0.82657295,Nope
267,jc,jc,0.9840321,Match
268,jc,jc,0.9995421,Match
269,jc,jc,0.99960715,Match
270,jc,jc,0.9993937,Match
271,jc,jc,0.99894327,Match
272,jc,jc,0.96588767,Match
273,jc,jc,0.99934524,Match
274,jc,jc,0.9624556,Match
275,jc,jc,0.9836891,Match
276,jc,jc,0.9994485,Match
277,jc,jc,0.99918336,Match
278,jc,jc,0.9957105,Match
279,jc,jc,0.9993617,Match
280,jc,jc,0.9992693,Match
281,jc,jc,0.6294679,Match
282,jc,jc,0.99953437,Match
283,jc,jc,0.9994623,Match
284,jc,jc,0.9974408,Match
285,jc,jc,0.99956137,Match
286,jc,jc,0.99948263,Match
287,jc,jc,0.9275821,Match
288,jonah,jc,0.5998474,Nope
289,jonah,jonah,0.55050516,Match
290,jonah,jonah,0.99726725,Match
291,jonah,jonah,0.9996184,Match
292,jonah,jonah,0.98442924,Match
293,jonah,jonah,0.97762567,Match
294,jonah,jonah,0.7638592,Match
295,jonah,jonah,0.9474021,Match
296,jonah,jonah,0.9991184,Match
297,jonah,jonah,0.9995946,Match
298,jonah,jonah,0.9981388,Match
299,jonah,jonah,0.9647315,Match
300,jonah,jc,0.94733685,Nope
301,jonah,jonah,0.9676985,Match
302,jonah,jonah,0.9996896,Match
303,jonah,jonah,0.9997497,Match
304,jonah,jonah,0.9995357,Match
305,jonah,jonah,0.99963295,Match
306,jonah,jonah,0.85101324,Match
307,jonah,jonah,0.9996921,Match
308,jonah,jonah,0.99975425,Match
309,jonah,jonah,0.99973947,Match
310,jonah,jonah,0.999739,Match
311,jonah,jonah,0.9995573,Match
312,jonah,jonah,0.84155107,Match
313,jonah,jonah,0.9988134,Match
314,jonah,jonah,0.99504834,Match
315,jonah,jonah,0.9996505,Match
316,jonah,jonah,0.99972945,Match
