,Results,Prediction,Accuracy,34/80
0,andy,andy,0.98475826,Match
1,andy,andy,0.9848701,Match
2,andy,andy,0.984783,Match
3,andy,andy,0.9832517,Match
4,andy,andy,0.98520607,Match
5,andy,andy,0.33181033,Match
6,andy,andy,0.9847515,Match
7,andy,andy,0.98446494,Match
8,azfar,azfar,0.5874261,Match
9,azfar,cy,0.57493687,Nope
10,azfar,azfar,0.46352553,Match
11,azfar,azfar,0.5871265,Match
12,azfar,azfar,0.3611273,Match
13,azfar,azfar,0.49321228,Match
14,azfar,cy,0.5653741,Nope
15,azfar,zen,0.46222448,Nope
16,ch,ys,0.3889392,Nope
17,ch,ys,0.43592855,Nope
18,ch,ys,0.45986384,Nope
19,ch,ch,0.36349964,Match
20,ch,ys,0.43134645,Nope
21,ch,ch,0.39649558,Match
22,ch,ch,0.40713033,Match
23,ch,ys,0.41323152,Nope
24,cy,azfar,0.53750974,Nope
25,cy,cy,0.450817,Match
26,cy,cy,0.33799705,Match
27,cy,andy,0.43273988,Nope
28,cy,cy,0.32916433,Match
29,cy,zen,0.4193778,Nope
30,cy,cy,0.57884926,Match
31,cy,jonah,0.57536983,Nope
32,gerald,qikai,0.9040189,Nope
33,gerald,ch,0.39018086,Nope
34,gerald,gerald,0.9609915,Match
35,gerald,ch,0.40533322,Nope
36,gerald,gerald,0.9620492,Match
37,gerald,qikai,0.9152977,Nope
38,gerald,gerald,0.96231425,Match
39,gerald,gerald,0.9618559,Match
40,jc,jc,0.36963287,Match
41,jc,ys,0.35620537,Nope
42,jc,ys,0.25434244,Nope
43,jc,ys,0.34902015,Nope
44,jc,ys,0.46181485,Nope
45,jc,ys,0.25606376,Nope
46,jc,jc,0.3284554,Match
47,jc,ys,0.42604527,Nope
48,jonah,ys,0.30977026,Nope
49,jonah,jc,0.2585255,Nope
50,jonah,jc,0.29406655,Nope
51,jonah,jonah,0.64016044,Match
52,jonah,qikai,0.91739815,Nope
53,jonah,jc,0.29677242,Nope
54,jonah,jc,0.27815062,Nope
55,jonah,ys,0.46353173,Nope
56,qikai,qikai,0.9159873,Match
57,qikai,gerald,0.9579952,Nope
58,qikai,gerald,0.9615185,Nope
59,qikai,ch,0.398773,Nope
60,qikai,qikai,0.9174331,Match
61,qikai,ys,0.42684352,Nope
62,qikai,ch,0.32582295,Nope
63,qikai,qikai,0.91696995,Match
64,ys,ch,0.3978509,Nope
65,ys,ys,0.4327312,Match
66,ys,ys,0.4500703,Match
67,ys,ch,0.34635895,Nope
68,ys,ch,0.39205527,Nope
69,ys,gerald,0.9619141,Nope
70,ys,ch,0.39735153,Nope
71,ys,ys,0.4279413,Match
72,zen,jc,0.2950118,Nope
73,zen,jc,0.33303303,Nope
74,zen,azfar,0.47272143,Nope
75,zen,jc,0.37131545,Nope
76,zen,andy,0.9848002,Nope
77,zen,cy,0.5315206,Nope
78,zen,zen,0.34130496,Match
79,zen,azfar,0.53099257,Nope
