,Results,Prediction,Accuracy
0,andy,andy,0.99995613
1,andy,andy,0.99938774
2,andy,andy,0.99995387
3,andy,andy,0.99927205
4,andy,andy,0.9999473
5,andy,andy,0.91770124
6,andy,andy,0.9999143
7,andy,andy,0.99941397
8,azfar,azfar,0.9976726
9,azfar,andy,0.772386
10,azfar,azfar,0.9953549
11,azfar,azfar,0.99804497
12,azfar,azfar,0.999561
13,azfar,azfar,0.999501
14,azfar,azfar,0.8098305
15,azfar,ch,0.9610518
16,ch,ch,0.97730494
17,ch,ch,0.998995
18,ch,ch,0.8702473
19,ch,ch,0.99944407
20,ch,azfar,0.99932754
21,ch,ch,0.71270853
22,ch,andy,0.6327306
23,ch,ch,0.99716103
24,cy,azfar,0.9837975
25,cy,ch,0.9625454
26,cy,azfar,0.91946465
27,cy,azfar,0.9507832
28,cy,andy,0.67366207
29,cy,azfar,0.99972266
30,cy,ch,0.99866164
31,cy,ch,0.7898351
32,gerald,andy,0.9662544
33,gerald,ch,0.99732155
34,gerald,andy,0.99959296
35,gerald,ch,0.9987748
36,gerald,azfar,0.69290423
37,gerald,andy,0.9998481
38,gerald,andy,0.99960095
39,gerald,azfar,0.99942493
40,jc,ch,0.81297994
41,jc,ch,0.9721414
42,jc,azfar,0.9993186
43,jc,azfar,0.88292176
44,jc,azfar,0.9955167
45,jc,azfar,0.87450093
46,jc,andy,0.985756
47,jc,ch,0.99931145
48,jonah,ch,0.9498626
49,jonah,azfar,0.9991486
50,jonah,azfar,0.60976475
51,jonah,andy,0.9562009
52,jonah,andy,0.99913883
53,jonah,ch,0.8544646
54,jonah,ch,0.986821
55,jonah,ch,0.900381
56,qikai,andy,0.990013
57,qikai,ch,0.9990571
58,qikai,ch,0.99877447
59,qikai,ch,0.99913824
60,qikai,andy,0.99986625
61,qikai,ch,0.9989371
62,qikai,ch,0.9863616
63,qikai,andy,0.999961
64,ys,andy,0.9672591
65,ys,azfar,0.997758
66,ys,azfar,0.941719
67,ys,ch,0.94908065
68,ys,azfar,0.986672
69,ys,azfar,0.512803
70,ys,ch,0.99631655
71,ys,ch,0.9970393
72,zen,azfar,0.99945384
73,zen,azfar,0.9992712
74,zen,azfar,0.8781674
75,zen,ch,0.56373024
76,zen,andy,0.99983144
77,zen,ch,0.99713814
78,zen,azfar,0.99955815
79,zen,azfar,0.99914265
