,Results,Prediction,Accuracy,
0,andy,qk,0.623641,Nope
1,andy,ken,0.96140116,Nope
2,andy,qk,0.9152655,Nope
3,andy,ken,0.9998598,Nope
4,andy,andy,0.999987,Match
5,azfar,qk,0.87605083,Nope
6,azfar,azfar,0.6710868,Match
7,azfar,azfar,0.9560429,Match
8,azfar,azfar,0.99928015,Match
9,azfar,azfar,0.99724483,Match
10,bryce,bryce,0.98443973,Match
11,bryce,ye,0.91303223,Nope
12,bryce,ye,0.68166435,Nope
13,bryce,bryce,0.9664219,Match
14,bryce,ye,0.8488238,Nope
15,chris,bryce,0.9811095,Nope
16,chris,bryce,0.9630307,Nope
17,chris,bryce,0.93372214,Nope
18,chris,bryce,0.8352377,Nope
19,chris,bryce,0.5792894,Nope
20,cy,cy,0.99824095,Match
21,cy,cy,0.9982488,Match
22,cy,cy,0.9975573,Match
23,cy,cy,0.9958545,Match
24,cy,cy,0.99825424,Match
25,gerald,cy,0.9974113,Nope
26,gerald,cy,0.99417746,Nope
27,gerald,cy,0.9980076,Nope
28,gerald,sz,0.9581245,Nope
29,gerald,sz,0.99912375,Nope
30,ken,ken,0.99986434,Match
31,ken,ken,0.99977165,Match
32,ken,ken,0.99984443,Match
33,ken,ken,0.99980456,Match
34,ken,ken,0.9998653,Match
35,qk,qk,0.9124181,Match
36,qk,azfar,0.9998173,Nope
37,qk,gerald,0.7530074,Nope
38,qk,bryce,0.9782164,Nope
39,qk,chris,0.828317,Nope
40,sz,azfar,0.99923325,Nope
41,sz,azfar,0.61533684,Nope
42,sz,sz,0.99921095,Match
43,sz,sz,0.9992193,Match
44,sz,sz,0.99655557,Match
45,vale,ken,0.95175827,Nope
46,vale,ken,0.9994167,Nope
47,vale,andy,0.9999527,Nope
48,vale,andy,0.99996376,Nope
49,vale,ken,0.9997495,Nope
50,ye,ken,0.99984515,Nope
51,ye,ken,0.9998448,Nope
52,ye,ken,0.9998336,Nope
53,ye,ken,0.9998435,Nope
54,ye,ken,0.99845827,Nope
55,ys,bryce,0.9843536,Nope
56,ys,bryce,0.99078923,Nope
57,ys,bryce,0.9817155,Nope
58,ys,bryce,0.91947985,Nope
59,ys,bryce,0.79583436,Nope
