,Results,Prediction,Accuracy,30/80,37.50%
0,adhy,jc,0.76169384,Nope,
1,adhy,hr,0.7614502,Nope,
2,adhy,bryce,0.77130836,Nope,
3,adhy,jc,0.69711846,Nope,
4,adhy,andy,1.714491,Nope,
5,adhy,adhy,0.89305586,Match,
6,adhy,chris,0.9194413,Nope,
7,adhy,hr,0.90733284,Nope,
8,adhy,adhy,0.95306385,Match,
9,adhy,cy,1.4801369,Nope,
10,andy,andy,0.95090395,Match,
11,andy,andy,1.6771164,Match,
12,andy,andy,1.1785924,Match,
13,andy,jc,0.6194993,Nope,
14,andy,andy,2.037181,Match,
15,andy,andy,0.86957777,Match,
16,andy,hr,0.83613145,Nope,
17,andy,andy,0.84328985,Match,
18,andy,bryce,0.90878683,Nope,
19,andy,andy,1.0038157,Match,
20,bryce,cy,1.369669,Nope,
21,bryce,chris,1.138555,Nope,
22,bryce,ys,0.99558425,Nope,
23,bryce,jc,0.9538399,Nope,
24,bryce,cy,1.118736,Nope,
25,bryce,bryce,1.4962287,Match,
26,bryce,jc,0.99166346,Nope,
27,bryce,chris,0.90425885,Nope,
28,bryce,bryce,0.99420846,Match,
29,bryce,ys,1.2255384,Nope,
30,chris,adhy,0.98276675,Nope,
31,chris,andy,0.9745935,Nope,
32,chris,chris,1.0584794,Match,
33,chris,andy,1.2443925,Nope,
34,chris,chris,1.0419524,Match,
35,chris,andy,1.4473914,Nope,
36,chris,adhy,0.6684649,Nope,
37,chris,chris,1.4940174,Match,
38,chris,chris,0.99645567,Match,
39,chris,andy,0.80881786,Nope,
40,cy,chris,0.9842581,Nope,
41,cy,cy,1.0439763,Match,
42,cy,cy,2.7584853,Match,
43,cy,adhy,0.7870625,Nope,
44,cy,cy,2.239721,Match,
45,cy,cy,1.0868943,Match,
46,cy,jc,0.9919549,Nope,
47,cy,cy,1.4304771,Match,
48,cy,adhy,0.8223407,Nope,
49,cy,cy,1.6894157,Match,
50,hr,ys,0.76923424,Nope,
51,hr,hr,0.8427264,Match,
52,hr,chris,0.91057706,Nope,
53,hr,hr,0.9349878,Match,
54,hr,ys,0.969306,Nope,
55,hr,ys,0.8479701,Nope,
56,hr,jc,0.91040397,Nope,
57,hr,hr,0.90895265,Match,
58,hr,ys,0.92318046,Nope,
59,hr,hr,0.8566992,Match,
60,jc,ys,1.5493923,Nope,
61,jc,jc,1.7055442,Match,
62,jc,jc,1.3860884,Match,
63,jc,jc,1.2099073,Match,
64,jc,chris,0.6909575,Nope,
65,jc,jc,1.5434865,Match,
66,jc,ys,1.741949,Nope,
67,jc,ys,1.5314735,Nope,
68,jc,jc,1.2169576,Match,
69,jc,chris,0.759593,Nope,
70,ys,chris,1.0105689,Nope,
71,ys,jc,1.5582938,Nope,
72,ys,jc,0.91368306,Nope,
73,ys,jc,1.5285144,Nope,
74,ys,bryce,1.0123105,Nope,
75,ys,andy,0.8894296,Nope,
76,ys,jc,1.5498687,Nope,
77,ys,jc,1.4077252,Nope,
78,ys,adhy,0.8923553,Nope,
79,ys,chris,1.0302156,Nope,
