Subject,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,G|0+1,D|1,I|1+2,PF|1+2,RF|1+2,G|1+2,D|2,I|2+3,PF|2+3,RF|2+3,G|2+3,D|3,I|3+4,PF|3+4,RF|3+4,G|3+4,D|4,T2-D-S,T2-I-S,T2-PF-S,T2-RF-S,T2-G-S,T2-D-M,T2-I-M,T2-PF-M,T2-RF-M,T2-G-M,T2-D-VAR,T2-I-VAR,T2-PF-VAR,T2-RF-VAR,T2-G-VAR,T2-D-SD,T2-I-SD,T2-PF-SD,T2-RF-SD,T2-G-SD,T3_I|0+2,T3_PF|0+2,T3_RF|0+2,T3_G|0+2,T3_I|1+3,T3_PF|1+3,T3_RF|1+3,T3_G|1+3,T3_I|2+4,T3_PF|2+4,T3_RF|2+4,T3_G|2+4,T3-I-S,T3-PF-S,T3-RF-S,T3-G-S,T3-I-M,T3-PF-M,T3-RF-M,T3-G-M,T3-I-VAR,T3-PF-VAR,T3-RF-VAR,T3-G-VAR,T3-I-SD,T3-PF-SD,T3-RF-SD,T3-G-SD,T4_I|0+3,T4_PF|0+3,T4_RF|0+3,T4_G|0+3,T4_I|1+4,T4_PF|1+4,T4_RF|1+4,T4_G|1+4,T4-I-S,T4-PF-S,T4-RF-S,T4-G-S,T4-I-M,T4-PF-M,T4-RF-M,T4-G-M,T4-I-VAR,T4-PF-VAR,T4-RF-VAR,T4-G-VAR,T4-I-SD,T4-PF-SD,T4-RF-SD,T4-G-SD,T5_I|0+4,T5_PF|0+4,T5_RF|0+4,T5_G|0+4
jc,pudgy,0.063001871,0.42501545,0.488017321,0.528661251,0.591663122,0.103645802,0.023751259,0.12739706,0.104096889,0.207742691,0.080345631,0.160019159,0.24036479,0.248018026,0.328363657,0.087998867,0.128676176,0.216675043,0.215326786,0.303325653,0.08665061,0.42164278,0.737462044,1.072454214,1.096102953,1.431095123,0.084328556,0.184365511,0.268113554,0.274025738,0.357773781,0.000215678,0.029134459,0.023858237,0.032612342,0.027014369,0.014685965,0.170688193,0.15446112,0.180588876,0.164360484,0.55241251,0.615414381,0.632758141,0.695760012,0.264116049,0.36776185,0.352114916,0.455760717,0.376694202,0.457039833,0.463344812,0.543690443,1.193222761,1.440216064,1.448217869,1.695211172,0.39774092,0.480072021,0.48273929,0.565070391,0.021110936,0.015730805,0.019972264,0.014742742,0.145296028,0.125422507,0.141323261,0.121419693,0.7927773,0.855779171,0.880776167,0.943778038,0.480791092,0.584436893,0.567441702,0.671087503,1.273568392,1.440216064,1.448217869,1.614865541,0.636784196,0.720108032,0.724108934,0.807432771,0.048667697,0.036813316,0.049089243,0.037180064,0.220607563,0.191867964,0.221560925,0.192821326,1.009452343,1.072454214,1.096102953,1.159104824
jc,mulct,0.111997843,0.096428394,0.208426237,0.208332777,0.32033062,0.111904383,0.151586056,0.263490438,0.239579201,0.351483583,0.087993145,0.071938753,0.159931898,0.215839148,0.303832293,0.143900394,0.13553524,0.279435635,0.223606825,0.367507219,0.088071585,0.54386735,0.455488443,0.911284208,0.88735795,1.343153715,0.10877347,0.113872111,0.227821052,0.221839488,0.335788429,0.000528622,0.001318108,0.002973822,0.000178752,0.000837519,0.022991792,0.03630575,0.054532762,0.013369819,0.028939927,0.359918833,0.471916676,0.447911978,0.559909821,0.311517954,0.423422337,0.455418348,0.567322731,0.351374388,0.439367533,0.439445972,0.527439117,1.022811174,1.334706545,1.342776299,1.654671669,0.340937058,0.444902182,0.4475921,0.551557223,0.000667365,0.000610899,6.39E-05,0.00045,0.025833402,0.024716381,0.007990991,0.021213205,0.519850731,0.631848574,0.663751125,0.775748968,0.590953588,0.702857971,0.679025173,0.790929556,1.110804319,1.334706545,1.342776299,1.566678524,0.55540216,0.667353272,0.671388149,0.783339262,0.002527808,0.002521167,0.000116648,0.000115225,0.050277313,0.050211227,0.010800383,0.010734297,0.799286366,0.911284208,0.88735795,0.999355793
jc,weary,0.145682812,-0.032975912,0.1127069,0.078529835,0.224212646,0.111505747,0.071853399,0.183359146,0.175623894,0.287129641,0.103770494,0.024668694,0.128439188,0.103709936,0.207480431,0.079041243,0.121305227,0.20034647,0.200294495,0.279335737,0.078989267,0.518989563,0.184851408,0.624851704,0.558158159,0.998158455,0.103797913,0.046212852,0.156212926,0.13953954,0.249539614,0.000760529,0.004343771,0.001782947,0.003333063,0.001570416,0.027577699,0.065907292,0.04222496,0.057732688,0.03962848,0.150383234,0.296066046,0.254153728,0.39983654,0.200292587,0.311798334,0.27933383,0.390839577,0.225015163,0.328785658,0.304004431,0.407774925,0.575690985,0.936650038,0.837491989,1.198451042,0.191896995,0.312216679,0.279163996,0.399483681,0.001445346,0.000267775,0.000621295,7.18E-05,0.038017702,0.016363817,0.024925785,0.008473187,0.278822422,0.424505234,0.357863665,0.503546476,0.400639057,0.512144804,0.479628325,0.591134071,0.679461479,0.936650038,0.837491989,1.094680548,0.33973074,0.468325019,0.418745995,0.547340274,0.007419646,0.003840347,0.007413316,0.003835793,0.086137369,0.061970534,0.086100617,0.061933782,0.479168892,0.624851704,0.558158159,0.703840971
jc,glans,0.079325914,0.023662329,0.102988243,0.103689671,0.183015585,0.080027342,0.039789438,0.11981678,0.127804756,0.207832098,0.088015318,0.024576187,0.112591505,0.113030672,0.20104599,0.088454485,0.047792196,0.136246681,0.143793821,0.232248306,0.096001625,0.431824684,0.13582015,0.471643209,0.48831892,0.824141979,0.086364937,0.033955038,0.117910802,0.12207973,0.206035495,4.74E-05,0.000139803,0.000196938,0.000308119,0.00041505,0.006886013,0.011823844,0.014033471,0.017553323,0.020372781,0.143479109,0.222805023,0.231494427,0.310820341,0.152380943,0.232408285,0.240835428,0.32086277,0.160822868,0.248838186,0.256824493,0.344839811,0.45668292,0.704051495,0.729154348,0.976522923,0.15222764,0.234683832,0.243051449,0.325507641,7.52E-05,0.000173315,0.000164086,0.000305512,0.008672896,0.013164915,0.012809611,0.017478907,0.256070614,0.335396528,0.344525099,0.423851013,0.288627625,0.368654966,0.38462925,0.464656591,0.544698238,0.704051495,0.729154348,0.888507605,0.272349119,0.352025747,0.364577174,0.444253802,0.000529979,0.000553062,0.000804171,0.000832548,0.023021283,0.023517267,0.028357917,0.028853901,0.392317295,0.471643209,0.48831892,0.567644835
jc,veiny,0.071367025,0.120442152,0.191809177,0.191433668,0.262800694,0.070991516,0.089009285,0.160000801,0.224634647,0.295626163,0.135625362,-0.024631739,0.110993624,0.079970598,0.215595961,0.104602337,0.032282114,0.136884451,0.112270832,0.216873169,0.079988718,0.462574959,0.217101812,0.599688053,0.608309746,0.990895987,0.092514992,0.054275453,0.149922013,0.152077436,0.247723997,0.000768003,0.004098174,0.001180505,0.004532475,0.00150197,0.027712867,0.064016985,0.034358473,0.067323655,0.038755252,0.280442953,0.351809978,0.416068316,0.487435341,0.200002909,0.270994425,0.304605246,0.375596762,0.112252712,0.247878075,0.19224143,0.327866793,0.592698574,0.870682478,0.912914991,1.190898895,0.197566191,0.290227493,0.304304997,0.396966298,0.007076442,0.002977893,0.012524686,0.006708023,0.084121593,0.054570077,0.111913745,0.081902523,0.391436577,0.462803602,0.496038914,0.567405939,0.33688736,0.407878876,0.416876078,0.487867594,0.728323936,0.870682478,0.912914991,1.055273533,0.364161968,0.435341239,0.456457496,0.527636766,0.001487809,0.001508363,0.003133377,0.003163174,0.038572121,0.038837647,0.055976578,0.056242103,0.528321028,0.599688053,0.608309746,0.679676771
jc,recto,0.087719679,0.055918694,0.143638372,0.143921852,0.231641531,0.088003159,0.055995464,0.143998623,0.143130302,0.231133461,0.087134838,0.096968889,0.184103727,0.168938398,0.256073236,0.071969509,0.048018456,0.119987965,0.13590169,0.207871199,0.087883234,0.422710419,0.256901503,0.591728687,0.591892242,0.926719427,0.084542084,0.064225376,0.147932172,0.147973061,0.231679857,4.95E-05,0.000490511,0.000707723,0.000208376,0.000387396,0.007036182,0.022147493,0.026603068,0.014435234,0.019682388,0.199917316,0.287636995,0.287052155,0.374771833,0.240099192,0.32810235,0.312068701,0.400071859,0.216956854,0.304091692,0.304840088,0.391974926,0.656973362,0.919831038,0.903960943,1.166818619,0.218991121,0.306610346,0.301320314,0.38893954,0.000406749,0.000414119,0.000165749,0.000166933,0.020168031,0.020349913,0.012874335,0.012920256,0.384021044,0.471740723,0.455990553,0.543710232,0.360087156,0.448090315,0.44797039,0.535973549,0.7441082,0.919831038,0.903960943,1.079683781,0.3720541,0.459915519,0.451980472,0.53984189,0.000286415,0.000279671,3.22E-05,2.99E-05,0.016923814,0.016723364,0.005671111,0.005470661,0.504009008,0.591728687,0.591892242,0.679611921
jc,rapes,0.07967186,0.136575937,0.216247797,0.248385429,0.328057289,0.111809492,0.048179626,0.159989119,0.151532173,0.263341665,0.103352547,0.031345129,0.134697676,0.104244232,0.207596779,0.072899103,0.12813139,0.201030493,0.223845005,0.296744108,0.095713615,0.463446617,0.344232082,0.711965084,0.72800684,1.095739841,0.092689323,0.086058021,0.177991271,0.18200171,0.27393496,0.000262385,0.002916834,0.001397593,0.004377426,0.002654152,0.016198292,0.05400772,0.037384401,0.066162118,0.051518462,0.296565056,0.376236916,0.399917603,0.479589462,0.182877302,0.294686794,0.255776405,0.367585897,0.232375622,0.335728168,0.328089237,0.431441784,0.71181798,1.006651878,0.983783245,1.278617144,0.23727266,0.335550626,0.327927748,0.426205715,0.003249212,0.001662629,0.005194191,0.003156762,0.05700186,0.040775351,0.072070734,0.056185069,0.431262732,0.510934591,0.504161835,0.583833694,0.383907795,0.495717287,0.47962141,0.591430902,0.815170527,1.006651878,0.983783245,1.175264597,0.407585263,0.503325939,0.491891623,0.587632298,0.001121245,0.000115783,0.000301116,2.89E-05,0.033484997,0.010760259,0.0173527,0.005372037,0.632293224,0.711965084,0.72800684,0.807678699
jc,clues,0.128442764,0.015998602,0.144441366,0.1109972,0.239439964,0.094998598,0.160978317,0.255976915,0.265056372,0.36005497,0.104078054,0.063579321,0.167657375,0.110790014,0.214868069,0.047210693,0.120424747,0.167635441,0.192400455,0.239611149,0.071975708,0.446705818,0.360980988,0.735711098,0.679244041,1.053974152,0.089341164,0.090245247,0.183927774,0.16981101,0.263493538,0.000963663,0.004045868,0.002426807,0.005508168,0.004279163,0.031042927,0.063607142,0.049262633,0.074217033,0.065415312,0.271975517,0.400418282,0.376053572,0.504496336,0.328635693,0.423634291,0.375846386,0.470844984,0.231214762,0.335292816,0.30319047,0.407268524,0.831825972,1.159345388,1.055090427,1.382609844,0.277275324,0.386448463,0.351696809,0.460869948,0.002393775,0.002097421,0.001764659,0.002437938,0.048926224,0.045797608,0.04200785,0.049375478,0.439632893,0.568075657,0.486843586,0.61528635,0.496271133,0.591269732,0.568246841,0.66324544,0.935904026,1.159345388,1.055090427,1.27853179,0.467952013,0.579672694,0.527545214,0.639265895,0.001603945,0.000268983,0.003313245,0.001150037,0.040049284,0.016400687,0.057560794,0.033912197,0.607268333,0.735711098,0.679244041,0.807686806
jc,joust,0.11197114,0.055561304,0.167532444,0.207947493,0.319918633,0.152386189,-0.047878265,0.104507923,0.047721863,0.200108051,0.095600128,0.064615965,0.160216093,0.104575872,0.200176001,0.039959908,0.271666288,0.311626196,0.343945742,0.383905649,0.072279453,0.472196817,0.343965292,0.743882656,0.704190969,1.104108334,0.094439363,0.085991323,0.185970664,0.176047742,0.276027083,0.001781404,0.017926384,0.007809586,0.016927697,0.008360446,0.042206687,0.133889446,0.08837186,0.130106484,0.091435477,0.160069227,0.272040367,0.255669355,0.367640495,0.112337828,0.264724016,0.152297735,0.304683924,0.376242161,0.471842289,0.448521614,0.544121742,0.648649216,1.008606672,0.856488705,1.216446161,0.216216405,0.336202224,0.285496235,0.405482054,0.019775753,0.013812053,0.022604379,0.015406605,0.14062629,0.11752469,0.150347526,0.124123345,0.32028532,0.43225646,0.360245228,0.472216368,0.423964024,0.576350212,0.496243477,0.648629665,0.744249344,1.008606672,0.856488705,1.120846033,0.372124672,0.504303336,0.428244352,0.560423017,0.005374637,0.010381505,0.009247762,0.015560826,0.073311914,0.101889669,0.096165284,0.124743039,0.631911516,0.743882656,0.704190969,0.816162109
jc,anole,0.103033304,0.0400002,0.143033504,0.121013165,0.224046469,0.081012964,0.086985111,0.167998075,0.167654991,0.248667955,0.08066988,0.096337318,0.177007198,0.192428589,0.273098469,0.09609127,0.023606062,0.119697332,0.09561944,0.191710711,0.072013378,0.432820797,0.246928692,0.607736111,0.576716185,0.937523603,0.086564159,0.061732173,0.151934028,0.144179046,0.234380901,0.000159821,0.001253702,0.00066838,0.001924611,0.001210239,0.012642014,0.035407654,0.025853055,0.043870384,0.034788483,0.207998276,0.31103158,0.288668156,0.39170146,0.26399231,0.345005274,0.36008358,0.441096544,0.216034651,0.296704531,0.288048029,0.368717909,0.688025236,0.952741385,0.936799765,1.201515913,0.229341745,0.317580462,0.312266588,0.400505304,0.000916642,0.000615406,0.001714945,0.001367797,0.030276097,0.024807385,0.04141189,0.036983746,0.385005474,0.488038778,0.481096745,0.584130049,0.383689642,0.464702606,0.45570302,0.536715984,0.768695116,0.952741385,0.936799765,1.120846033,0.384347558,0.476370692,0.468399882,0.560423017,8.66E-07,0.000272288,0.000322421,0.001124047,0.000930434,0.016501166,0.017956075,0.033526806,0.504702806,0.607736111,0.576716185,0.679749489
