,Results,Prediction,Accuracy
0,3,3,0.6228572
1,3,3,0.9390067
2,4,4,0.8059903
3,4,4,0.729312
4,5,6,0.90422624
5,5,4,0.9852011
6,6,6,0.83121914
7,6,4,0.9966097
