,Results,Prediction,Accuracy
0,3,6,0.98868376
1,3,3,0.9606428
2,4,4,0.8887372
3,4,4,0.8486127
4,5,4,0.8184464
5,5,3,0.9860817
6,6,4,0.88623613
7,6,4,0.98030615
