,Results,Prediction,Accuracy
0,3,6,0.99636865
1,3,3,0.9990759
2,4,4,0.9458156
3,4,3,0.6512968
4,5,5,0.7598052
5,5,5,0.9313842
6,6,6,0.99624157
7,6,4,0.99735296
