,Results,Prediction,Accuracy,
0,andy,andy,0.99990225,Match
1,andy,andy,0.9999385,Match
2,andy,andy,0.99809176,Match
3,andy,ken,0.57692254,Nope
4,andy,andy,0.9999598,Match
5,azfar,qk,0.65449154,Nope
6,azfar,qk,0.899648,Nope
7,azfar,bryce,0.52935433,Nope
8,azfar,qk,0.81252635,Nope
9,azfar,azfar,0.9974922,Match
10,bryce,ye,0.64482975,Nope
11,bryce,ye,0.69609094,Nope
12,bryce,ye,0.73550886,Nope
13,bryce,ye,0.70965445,Nope
14,bryce,ye,0.6585016,Nope
15,chris,bryce,0.4275554,Nope
16,chris,bryce,0.91129065,Nope
17,chris,gerald,0.5439515,Nope
18,chris,ye,0.7923478,Nope
19,chris,bryce,0.6342514,Nope
20,cy,qk,0.9823356,Nope
21,cy,qk,0.38487962,Nope
22,cy,qk,0.8728639,Nope
23,cy,qk,0.46158686,Nope
24,cy,azfar,0.9813208,Nope
25,gerald,qk,0.6747939,Nope
26,gerald,qk,0.420509,Nope
27,gerald,qk,0.61664677,Nope
28,gerald,sz,0.74878335,Nope
29,gerald,sz,0.7818711,Nope
30,ken,ken,0.9998037,Match
31,ken,ken,0.99940133,Match
32,ken,ken,0.99979705,Match
33,ken,gerald,0.8683694,Nope
34,ken,ken,0.9998043,Match
35,qk,qk,0.4930925,Match
36,qk,qk,0.97138005,Match
37,qk,gerald,0.9970855,Nope
38,qk,ye,0.54445994,Nope
39,qk,ye,0.7250962,Nope
40,sz,qk,0.7082687,Nope
41,sz,qk,0.5531903,Nope
42,sz,qk,0.4632167,Nope
43,sz,andy,0.81511414,Nope
44,sz,andy,0.99983954,Nope
45,vale,qk,0.9386872,Nope
46,vale,qk,0.61870545,Nope
47,vale,vale,0.9970041,Match
48,vale,qk,0.45114198,Nope
49,vale,vale,0.9997764,Match
50,ye,ken,0.5520019,Nope
51,ye,ken,0.6721181,Nope
52,ye,vale,0.7586189,Nope
53,ye,ken,0.99427783,Nope
54,ye,ken,0.93799967,Nope
55,ys,vale,0.8859353,Nope
56,ys,vale,0.3814882,Nope
57,ys,gerald,0.8528626,Nope
58,ys,gerald,0.77596045,Nope
59,ys,gerald,0.6415071,Nope
