,Results,Prediction,Accuracy,
0,andy,ken,0.999777,Nope
1,andy,ken,0.99980956,Nope
2,andy,ken,0.9998567,Nope
3,andy,ken,0.9998535,Nope
4,andy,ken,0.9997979,Nope
5,azfar,azfar,0.99983215,Match
6,azfar,azfar,0.99982905,Match
7,azfar,azfar,0.99981934,Match
8,azfar,chris,0.88785505,Nope
9,azfar,chris,0.95756245,Nope
10,bryce,bryce,0.98381096,Match
11,bryce,bryce,0.5886656,Match
12,bryce,bryce,0.9156028,Match
13,bryce,bryce,0.95187026,Match
14,bryce,bryce,0.9165596,Match
15,chris,bryce,0.9742829,Nope
16,chris,ye,0.974683,Nope
17,chris,ye,0.9988102,Nope
18,chris,ye,0.99837804,Nope
19,chris,ye,0.9581248,Nope
20,cy,qk,0.99159425,Nope
21,cy,qk,0.85923404,Nope
22,cy,qk,0.9853925,Nope
23,cy,qk,0.77611053,Nope
24,cy,qk,0.8258737,Nope
25,gerald,chris,0.94914037,Nope
26,gerald,bryce,0.7825753,Nope
27,gerald,chris,0.81545514,Nope
28,gerald,chris,0.7791927,Nope
29,gerald,chris,0.8284564,Nope
30,ken,bryce,0.5555482,Nope
31,ken,chris,0.32757732,Nope
32,ken,chris,0.338726,Nope
33,ken,qk,0.5292508,Nope
34,ken,chris,0.4961767,Nope
35,qk,bryce,0.98369265,Nope
36,qk,bryce,0.97680193,Nope
37,qk,bryce,0.8446618,Nope
38,qk,qk,0.71003455,Match
39,qk,bryce,0.74815303,Nope
40,sz,chris,0.9858409,Nope
41,sz,ken,0.9998499,Nope
42,sz,qk,0.88997066,Nope
43,sz,chris,0.74774104,Nope
44,sz,qk,0.7106955,Nope
45,vale,qk,0.993382,Nope
46,vale,ken,0.9659532,Nope
47,vale,qk,0.9990983,Nope
48,vale,qk,0.9980946,Nope
49,vale,qk,0.99940956,Nope
50,ye,ye,0.99022245,Match
51,ye,ye,0.98516375,Match
52,ye,bryce,0.93562406,Nope
53,ye,ye,0.94548035,Match
54,ye,ye,0.9716618,Match
55,ys,ys,0.9997117,Match
56,ys,ys,0.9995359,Match
57,ys,ys,0.99967074,Match
58,ys,ys,0.99960357,Match
59,ys,ys,0.9996246,Match
