,Results,Prediction,Accuracy,
0,andy,chris,0.67859507,Nope
1,andy,andy,0.5341296,Match
2,andy,ken,0.44055146,Nope
3,andy,andy,0.99998486,Match
4,andy,ken,0.997781,Nope
5,azfar,sz,0.7600249,Nope
6,azfar,sz,0.80566096,Nope
7,azfar,sz,0.7975433,Nope
8,azfar,ken,0.9975272,Nope
9,azfar,ken,0.99799985,Nope
10,bryce,bryce,0.9889727,Match
11,bryce,bryce,0.9747158,Match
12,bryce,bryce,0.98567134,Match
13,bryce,bryce,0.9748982,Match
14,bryce,bryce,0.962321,Match
15,chris,ye,0.99851614,Nope
16,chris,chris,0.89431113,Match
17,chris,bryce,0.57921433,Nope
18,chris,bryce,0.6917866,Nope
19,chris,bryce,0.7513737,Nope
20,cy,qk,0.99941134,Nope
21,cy,sz,0.9361184,Nope
22,cy,cy,0.79866207,Match
23,cy,qk,0.70238954,Nope
24,cy,qk,0.8863263,Nope
25,gerald,qk,0.9899232,Nope
26,gerald,qk,0.99797636,Nope
27,gerald,qk,0.99942976,Nope
28,gerald,qk,0.9994936,Nope
29,gerald,qk,0.9993892,Nope
30,ken,vale,0.87508833,Nope
31,ken,ken,0.9998023,Match
32,ken,ken,0.9247159,Match
33,ken,ken,0.9994968,Match
34,ken,ye,0.70585865,Nope
35,qk,qk,0.96295065,Match
36,qk,qk,0.9994898,Match
37,qk,qk,0.9994936,Match
38,qk,qk,0.99948394,Match
39,qk,qk,0.9866918,Match
40,sz,qk,0.95282996,Nope
41,sz,vale,0.9958305,Nope
42,sz,ken,0.5298742,Nope
43,sz,qk,0.94517267,Nope
44,sz,qk,0.5240327,Nope
45,vale,andy,0.99998593,Nope
46,vale,andy,0.9991768,Nope
47,vale,andy,0.99998426,Nope
48,vale,andy,0.9974994,Nope
49,vale,andy,0.99998796,Nope
50,ye,ken,0.9984139,Nope
51,ye,ken,0.99981457,Nope
52,ye,ken,0.99751747,Nope
53,ye,ken,0.9998584,Nope
54,ye,ken,0.9998586,Nope
55,ys,bryce,0.9648972,Nope
56,ys,ye,0.75980765,Nope
57,ys,bryce,0.8439736,Nope
58,ys,qk,0.9509584,Nope
59,ys,chris,0.9181396,Nope
