,Results,Prediction,Accuracy,
0,andy,chris,0.99638593,Nope
1,andy,chris,0.99718577,Nope
2,andy,chris,0.89986014,Nope
3,andy,chris,0.9973404,Nope
4,andy,chris,0.984306,Nope
5,azfar,azfar,0.9995048,Match
6,azfar,azfar,0.9995797,Match
7,azfar,azfar,0.9995586,Match
8,azfar,azfar,0.99957114,Match
9,azfar,azfar,0.99961,Match
10,bryce,bryce,0.94208306,Match
11,bryce,chris,0.54448503,Nope
12,bryce,bryce,0.6248983,Match
13,bryce,chris,0.99685776,Nope
14,bryce,chris,0.9818887,Nope
15,chris,gerald,0.37046343,Nope
16,chris,ye,0.7086191,Nope
17,chris,chris,0.9972932,Match
18,chris,chris,0.99715436,Match
19,chris,chris,0.9975459,Match
20,cy,cy,0.99949944,Match
21,cy,cy,0.9994987,Match
22,cy,cy,0.9995034,Match
23,cy,cy,0.99949086,Match
24,cy,cy,0.9995023,Match
25,gerald,sz,0.75673324,Nope
26,gerald,cy,0.3411997,Nope
27,gerald,sz,0.5142568,Nope
28,gerald,cy,0.99875104,Nope
29,gerald,sz,0.99764293,Nope
30,ken,azfar,0.9989072,Nope
31,ken,ken,0.9994665,Match
32,ken,ken,0.99978226,Match
33,ken,ken,0.9997515,Match
34,ken,ken,0.99976474,Match
35,qk,azfar,0.99923635,Nope
36,qk,qk,0.3976782,Match
37,qk,qk,0.5474039,Match
38,qk,qk,0.42775205,Match
39,qk,azfar,0.9627243,Nope
40,sz,sz,0.8525128,Match
41,sz,cy,0.9994759,Nope
42,sz,cy,0.9994795,Nope
43,sz,cy,0.99926263,Nope
44,sz,cy,0.9994655,Nope
45,vale,azfar,0.9909478,Nope
46,vale,azfar,0.9803704,Nope
47,vale,azfar,0.99958533,Nope
48,vale,azfar,0.99947137,Nope
49,vale,azfar,0.99776804,Nope
50,ye,qk,0.4188103,Nope
51,ye,ken,0.9988356,Nope
52,ye,chris,0.46928403,Nope
53,ye,azfar,0.9992512,Nope
54,ye,azfar,0.98637134,Nope
55,ys,ys,0.9998179,Match
56,ys,chris,0.9946537,Nope
57,ys,chris,0.96384895,Nope
58,ys,qk,0.8954286,Nope
59,ys,cy,0.9994592,Nope
