,Results,Prediction,Accuracy
0,3,4,0.90285516
1,3,5,0.9907672
2,4,4,0.9709071
3,4,4,0.98976314
4,5,5,0.9834125
5,5,4,0.99117976
6,6,3,0.9521367
7,6,5,0.98497736
