,Results,Prediction,Accuracy
0,3,3,0.9047956
1,3,3,0.9264678
2,4,4,0.97077054
3,4,4,0.99694484
4,5,5,0.95323706
5,5,4,0.9969357
6,6,6,0.99429107
7,6,6,0.9989792
