,Results,Prediction,Accuracy
0,3,5,0.6178355
1,3,3,0.98942506
2,4,4,0.85738325
3,4,6,0.64802116
4,5,6,0.99854124
5,5,5,0.5460062
6,6,4,0.72378844
7,6,3,0.98993415
