,Results,Prediction,Accuracy,370/720,51.39%
0,adhy,bryce,0.61084884,Nope,
1,adhy,chris,0.9999734,Nope,
2,adhy,ys,0.9999906,Nope,
3,adhy,chris,0.9999926,Nope,
4,adhy,chris,0.9999932,Nope,
5,adhy,chris,0.999987,Nope,
6,adhy,chris,0.99997306,Nope,
7,adhy,chris,0.9999951,Nope,
8,adhy,chris,0.99998,Nope,
9,adhy,chris,0.99184287,Nope,
10,adhy,hr,0.7592791,Nope,
11,adhy,ys,0.9271811,Nope,
12,adhy,hr,0.9989794,Nope,
13,adhy,hr,0.89189625,Nope,
14,adhy,hr,0.83677214,Nope,
15,adhy,chris,0.85743225,Nope,
16,adhy,hr,0.62696326,Nope,
17,adhy,hr,0.96320355,Nope,
18,adhy,chris,0.9999957,Nope,
19,adhy,hr,0.90124655,Nope,
20,adhy,ys,0.9999671,Nope,
21,adhy,hr,0.9999919,Nope,
22,adhy,chris,0.99999595,Nope,
23,adhy,chris,0.99459535,Nope,
24,adhy,chris,0.73545396,Nope,
25,adhy,chris,0.9999938,Nope,
26,adhy,hr,0.50115836,Nope,
27,adhy,ys,0.9999913,Nope,
28,adhy,hr,0.8073974,Nope,
29,adhy,ys,0.9611062,Nope,
30,adhy,ys,0.99989533,Nope,
31,adhy,ys,0.99363023,Nope,
32,adhy,ys,0.9795878,Nope,
33,adhy,ys,0.998855,Nope,
34,adhy,ys,0.84285235,Nope,
35,adhy,ys,0.9996057,Nope,
36,adhy,chris,0.99999344,Nope,
37,adhy,hr,0.9998691,Nope,
38,adhy,chris,0.7710501,Nope,
39,adhy,ys,0.9998869,Nope,
40,adhy,chris,0.9999747,Nope,
41,adhy,chris,0.98999995,Nope,
42,adhy,andy,0.90095043,Nope,
43,adhy,chris,0.99996984,Nope,
44,adhy,hr,0.9836646,Nope,
45,adhy,chris,0.9999939,Nope,
46,adhy,hr,0.9339478,Nope,
47,adhy,chris,0.99998987,Nope,
48,adhy,ys,0.99999475,Nope,
49,adhy,chris,0.994779,Nope,
50,adhy,chris,0.99999094,Nope,
51,adhy,chris,0.9999553,Nope,
52,adhy,chris,0.9999957,Nope,
53,adhy,chris,0.9999931,Nope,
54,adhy,chris,0.99998915,Nope,
55,adhy,hr,0.99789315,Nope,
56,adhy,chris,0.920142,Nope,
57,adhy,ys,0.99997437,Nope,
58,adhy,hr,0.91055506,Nope,
59,adhy,chris,0.99998915,Nope,
60,adhy,chris,0.9997992,Nope,
61,adhy,chris,0.99998415,Nope,
62,adhy,chris,0.93888354,Nope,
63,adhy,chris,0.96208197,Nope,
64,adhy,hr,0.9996537,Nope,
65,adhy,adhy,0.5871004,Match,
66,adhy,ys,0.99991894,Nope,
67,adhy,adhy,0.6830654,Match,
68,adhy,chris,0.9989479,Nope,
69,adhy,chris,0.7888018,Nope,
70,adhy,adhy,0.9999434,Match,
71,adhy,chris,0.9734072,Nope,
72,adhy,chris,0.9999932,Nope,
73,adhy,hr,0.8960297,Nope,
74,adhy,chris,0.6529088,Nope,
75,adhy,ys,0.99995816,Nope,
76,adhy,hr,0.9999435,Nope,
77,adhy,chris,0.99999666,Nope,
78,adhy,adhy,0.6529575,Match,
79,adhy,andy,0.9983583,Nope,
80,adhy,hr,0.6232084,Nope,
81,adhy,chris,0.99999106,Nope,
82,adhy,hr,0.9999343,Nope,
83,adhy,cy,0.9993507,Nope,
84,adhy,ys,0.9998466,Nope,
85,adhy,hr,0.99999356,Nope,
86,adhy,chris,0.9999865,Nope,
87,adhy,hr,0.99932957,Nope,
88,adhy,andy,0.97588104,Nope,
89,adhy,chris,0.9999045,Nope,
90,andy,chris,0.82496566,Nope,
91,andy,andy,0.7314308,Match,
92,andy,chris,0.515164,Nope,
93,andy,andy,0.9826645,Match,
94,andy,andy,0.9997067,Match,
95,andy,chris,0.9999566,Nope,
96,andy,adhy,0.9882406,Nope,
97,andy,cy,0.99979705,Nope,
98,andy,cy,0.9968838,Nope,
99,andy,cy,0.8456912,Nope,
100,andy,andy,0.9729733,Match,
101,andy,chris,0.7600188,Nope,
102,andy,andy,0.9999212,Match,
103,andy,andy,0.9999591,Match,
104,andy,chris,0.99990666,Nope,
105,andy,adhy,0.99974424,Nope,
106,andy,andy,0.9999238,Match,
107,andy,bryce,0.81367296,Nope,
108,andy,andy,0.9408983,Match,
109,andy,andy,0.5619393,Match,
110,andy,andy,0.99986124,Match,
111,andy,andy,0.99994636,Match,
112,andy,andy,0.9999566,Match,
113,andy,chris,0.99961543,Nope,
114,andy,adhy,0.9999807,Nope,
115,andy,andy,0.99994016,Match,
116,andy,andy,0.9092334,Match,
117,andy,cy,0.95807666,Nope,
118,andy,andy,0.9975157,Match,
119,andy,andy,0.9999348,Match,
120,andy,andy,0.9999045,Match,
121,andy,andy,0.99997306,Match,
122,andy,chris,0.98013043,Nope,
123,andy,adhy,0.9999864,Nope,
124,andy,andy,0.99986994,Match,
125,andy,cy,0.65195185,Nope,
126,andy,adhy,0.85729504,Nope,
127,andy,andy,0.99991846,Match,
128,andy,andy,0.9999608,Match,
129,andy,andy,0.9999471,Match,
130,andy,andy,0.9999695,Match,
131,andy,chris,0.9998828,Nope,
132,andy,adhy,0.99978155,Nope,
133,andy,andy,0.9998896,Match,
134,andy,cy,0.99990773,Nope,
135,andy,andy,0.9600872,Match,
136,andy,andy,0.9999236,Match,
137,andy,andy,0.99995995,Match,
138,andy,andy,0.9999442,Match,
139,andy,andy,0.9999646,Match,
140,andy,andy,0.93170303,Match,
141,andy,adhy,0.5846357,Nope,
142,andy,andy,0.9998758,Match,
143,andy,andy,0.7777417,Match,
144,andy,andy,0.53078705,Match,
145,andy,andy,0.99237025,Match,
146,andy,andy,0.9999341,Match,
147,andy,chris,0.970348,Nope,
148,andy,andy,0.999933,Match,
149,andy,andy,0.9999496,Match,
150,andy,adhy,0.9999927,Nope,
151,andy,andy,0.9998758,Match,
152,andy,bryce,0.9999809,Nope,
153,andy,adhy,0.9999958,Nope,
154,andy,adhy,0.9999809,Nope,
155,andy,hr,0.99999,Nope,
156,andy,adhy,0.9999695,Nope,
157,andy,adhy,0.83619475,Nope,
158,andy,adhy,0.9018851,Nope,
159,andy,adhy,0.71871036,Nope,
160,andy,adhy,0.99870944,Nope,
161,andy,adhy,0.42286134,Nope,
