,Results,Prediction,Accuracy,"cy, jonah, zen, 90/144"
170,cy,zen,0.9997981,Nope
171,cy,zen,0.87596244,Nope
172,cy,jonah,0.9995066,Nope
173,cy,jonah,0.9946972,Nope
174,cy,cy,0.99966335,Match
175,cy,cy,0.8802649,Match
176,cy,cy,0.99923265,Match
177,cy,cy,0.9996716,Match
178,cy,cy,0.9782663,Match
179,cy,cy,0.99972004,Match
180,cy,cy,0.91343135,Match
181,cy,jonah,0.99982446,Nope
182,cy,zen,0.97819227,Nope
183,cy,jonah,0.9442675,Nope
184,cy,zen,0.99798006,Nope
185,cy,cy,0.9918351,Match
186,cy,cy,0.86487645,Match
187,cy,jonah,0.98990905,Nope
188,cy,zen,0.99862707,Nope
189,cy,cy,0.51236105,Match
190,cy,zen,0.9998178,Nope
191,cy,cy,0.9996594,Match
192,gerald,jonah,0.99986637,Nope
193,gerald,jonah,0.99987555,Nope
194,gerald,jonah,0.99987745,Nope
195,gerald,jonah,0.9998764,Nope
196,gerald,jonah,0.95485324,Nope
197,gerald,jonah,0.9998771,Nope
198,gerald,jonah,0.9998685,Nope
199,gerald,jonah,0.9998764,Nope
200,gerald,jonah,0.99987876,Nope
201,gerald,jonah,0.9998771,Nope
202,gerald,jonah,0.9275519,Nope
203,gerald,jonah,0.99987745,Nope
204,gerald,jonah,0.9998789,Nope
205,gerald,jonah,0.9998791,Nope
206,gerald,jonah,0.9998785,Nope
207,gerald,jonah,0.9998772,Nope
208,gerald,jonah,0.9222812,Nope
209,gerald,jonah,0.9998764,Nope
210,gerald,jonah,0.9998778,Nope
211,gerald,jonah,0.9998778,Nope
212,gerald,jonah,0.9998784,Nope
213,gerald,jonah,0.999877,Nope
214,gerald,jonah,0.93023765,Nope
215,gerald,jonah,0.99987686,Nope
216,gerald,jonah,0.99987876,Nope
217,gerald,jonah,0.9998785,Nope
218,gerald,jonah,0.9998714,Nope
219,gerald,jonah,0.99987626,Nope
220,gerald,jonah,0.89305145,Nope
221,gerald,jonah,0.99987745,Nope
222,gerald,jonah,0.9998785,Nope
223,gerald,jonah,0.99987805,Nope
224,gerald,jonah,0.99985397,Nope
225,gerald,jonah,0.9998747,Nope
226,gerald,jonah,0.93451816,Nope
227,gerald,jonah,0.9998759,Nope
228,gerald,cy,0.950248,Nope
229,gerald,cy,0.92360884,Nope
230,gerald,cy,0.92996293,Nope
231,gerald,cy,0.92741287,Nope
232,gerald,cy,0.88422376,Nope
233,gerald,cy,0.93221796,Nope
234,gerald,jonah,0.9998785,Nope
235,gerald,jonah,0.9998778,Nope
236,gerald,jonah,0.999833,Nope
237,gerald,jonah,0.9998747,Nope
238,gerald,jonah,0.9998785,Nope
239,gerald,jonah,0.999876,Nope
240,jc,jonah,0.9998592,Nope
241,jc,jonah,0.95805323,Nope
242,jc,jonah,0.9998722,Nope
