Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
4,4,stub grove,0.109658241,0.281357765,0.202574253,0.171699524,0.078783512,0.203285217,0.141287565,0.124501705,0.061997652,0.327716112,0.219114542,0.26571846,0.10860157,0.530921221,0.405873537,0.422319651,0.125047684,0.733900785,0.65598917,0.608853102,0.077911615,0.296674013,0.219254732,0.218762398,0.077419281,0.218232632,0.15612936,0.140813351,0.062103271,0.18710351,0.124259233,0.125000238,0.062844276,0.2186656,0.141143322,0.155821323,0.077522278
4,4,gars okapi,0.078679323,0.296535492,0.141175032,0.217856169,0.15536046,0.249220133,0.15536046,0.093859673,0.093859673,0.328832865,0.220141649,0.234973192,0.108691216,0.467855692,0.374228477,0.359164476,0.093627214,1.422410011,1.282072306,1.328782797,0.140337706,0.21786809,0.093224049,0.077530384,0.124644041,0.328005314,0.203860283,0.203361273,0.124145031,0.186849356,0.139659882,0.062704325,0.047189474,0.218225479,0.140627146,0.171036005,0.077598333
4,4,isle showy,0.061544657,0.202759504,0.108408213,0.141214848,0.094351292,0.172347307,0.110344648,0.077996016,0.062002659,0.202784777,0.125364065,0.140782118,0.077420712,0.358500004,0.249262094,0.281079292,0.109237909,0.655939579,0.562860966,0.54670167,0.093078613,0.186931372,0.1397717,0.093852758,0.047159672,0.157617331,0.110574961,0.110457659,0.04704237,0.187479496,0.092610121,0.140437126,0.094869375,0.500345707,0.423188925,0.405476332,0.077156782
4,4,kith golfs,0.06274581,0.250645161,0.17326808,0.187899351,0.077377081,0.217702389,0.12342906,0.140325308,0.094273329,0.141644955,0.079748631,0.047371626,0.061896324,0.373698711,0.279854536,0.311802387,0.093844175,0.656455994,0.563241243,0.562611818,0.09321475,0.140564442,0.108989954,0.047349691,0.031574488,0.23404932,0.156508923,0.202474833,0.077540398,0.297320843,0.187824726,0.219780445,0.109496117,0.671024084,0.57843399,0.561527967,0.092590094
4,4,hail poise,0.07875824,0.219509363,0.125218153,0.140751123,0.09429121,0.171554565,0.109840631,0.077263355,0.061713934,0.233233452,0.155003309,0.171519518,0.078230143,0.226001501,0.140251875,0.147771358,0.085749626,0.209980249,0.148841143,0.124230623,0.061139107,0.26321578,0.180546761,0.202076674,0.08266902,0.305492163,0.232286453,0.222823143,0.073205709,0.411540747,0.258384943,0.338335037,0.153155804,0.401657104,0.317348003,0.248501301,0.084309101
4,4,mitt elder,0.077844143,0.250011683,0.186968803,0.17216754,0.063042879,0.15636158,0.109666824,0.093318701,0.046694756,0.24959445,0.14026475,0.202899694,0.1093297,0.344011784,0.250599384,0.234682083,0.093412399,0.561520338,0.483867645,0.468107939,0.077652693,0.249429703,0.156112432,0.17177701,0.09331727,0.156144142,0.078487635,0.062826872,0.077656507,0.281289101,0.171742678,0.203632593,0.109546423,0.15686655,0.062437057,0.047320127,0.094429493
4,4,pain shape,0.062522888,0.219181299,0.109557152,0.156658411,0.109624147,0.217887878,0.125400305,0.108263731,0.092487574,0.139690399,0.045718193,0.047202826,0.093972206,0.235462666,0.126223803,0.141490459,0.109238863,0.42052412,0.311823368,0.311285257,0.108700752,0.218514681,0.140682936,0.109813929,0.077831745,0.218776941,0.124496222,0.140945196,0.09428072,0.218815327,0.141438007,0.124534607,0.077377319,0.202161789,0.124093771,0.12478447,0.078068018
4,4,goof rived,0.109880209,0.186999559,0.139220238,0.07711935,0.047779322,0.203996897,0.125856161,0.156217575,0.078140736,0.484246731,0.375231504,0.406105995,0.109015226,0.375070572,0.265553236,0.266055346,0.109517336,0.530958891,0.43680048,0.421441555,0.094158411,0.188235521,0.110294104,0.09407711,0.077941418,0.186510801,0.124123096,0.108569384,0.062387705,0.203205824,0.172281504,0.140818119,0.03092432,0.235400915,0.125600338,0.204476595,0.109800577
5,5,buzzy agog,0.092689276,0.203226805,0.140007496,0.110537529,0.063219309,0.359899521,0.266389132,0.296680212,0.093510389,0.311542034,0.186750174,0.218031645,0.124791861,0.297333956,0.203838587,0.172542095,0.093495369,0.311380863,0.218133211,0.217885494,0.093247652,0.25046277,0.172219515,0.157215118,0.078243256,0.265238762,0.187672853,0.186995506,0.077565908,0.171486855,0.108352423,0.093920946,0.063134432,0.187813759,0.078320503,0.124679327,0.109493256
5,5,grads away,0.056207418,0.322636127,0.197680712,0.266428709,0.124955416,0.3121593,0.202494383,0.187203884,0.109664917,0.281914234,0.1720016,0.172249317,0.109912634,0.281028032,0.203118324,0.171115398,0.077909708,0.343804359,0.203811884,0.265894651,0.139992476,0.624243975,0.499339342,0.484251499,0.124904633,0.265549183,0.203542233,0.14064455,0.06200695,0.264996052,0.156023502,0.202989101,0.108972549,0.234387398,0.155908108,0.125414848,0.07847929
5,5,skint blob,0.109342098,0.186803579,0.124180794,0.077461481,0.062622786,0.344735146,0.236088514,0.28211236,0.108646631,0.170883894,0.045334101,0.062237263,0.125549793,0.781211853,0.688048363,0.65566206,0.09316349,0.562932253,0.468877554,0.469768763,0.094054699,0.46858716,0.40616703,0.374532461,0.06242013,0.140743256,0.078465939,0.078323126,0.062277317,0.280354738,0.202135086,0.218077421,0.078219652,0.21954608,0.125267744,0.141326427,0.094278336
5,5,soapy bops,0.124407053,0.21938467,0.156577349,0.094977617,0.062807322,0.233906984,0.123786449,0.171099663,0.110120535,0.157288313,0.078816891,0.047167778,0.078471422,0.29649663,0.234560728,0.218025208,0.061935902,0.327395201,0.234647036,0.265459299,0.092748165,0.59308672,0.514963627,0.500338554,0.078123093,0.140222788,0.093798876,0.062099695,0.046423912,0.249810457,0.157234669,0.203386545,0.092575788,0.249210119,0.155445099,0.156634331,0.09376502
5,5,ceded lido,0.110022306,0.249536753,0.186978579,0.139514446,0.062558174,0.250055313,0.172275782,0.187497139,0.077779531,0.234237909,0.17198658,0.156458378,0.062251329,0.249856472,0.156651497,0.187605143,0.093204975,0.312725306,0.217832565,0.21952033,0.09489274,0.187871695,0.12551713,0.092978954,0.062354565,0.218409061,0.15562439,0.156054497,0.062784672,0.203924894,0.109423399,0.141140223,0.094501495,0.109997511,0.047271013,0.015496016,0.062726498
5,5,hinge weed,0.045548677,0.233476877,0.10884881,0.1879282,0.124628067,0.187212467,0.07771945,0.0625844,0.109493017,0.218719959,0.124484301,0.109226942,0.094235659,0.203737497,0.094235659,0.109501839,0.109501839,0.453257322,0.390292883,0.343755484,0.062964439,0.313628674,0.203855038,0.250664234,0.109773636,0.2813797,0.234625816,0.171606064,0.046753883,0.186951637,0.124727964,0.140197754,0.062223673,0.281192303,0.156556368,0.21896863,0.124635935
5,5,jowly sons,0.076756716,0.281201363,0.218812943,0.204444647,0.06238842,0.28057003,0.203387022,0.21818161,0.077183008,0.154904604,0.077183008,0.077721596,0.077721596,0.297172546,0.233661413,0.219450951,0.063511133,0.360691547,0.26697278,0.297180414,0.093718767,0.469518661,0.373944521,0.375799894,0.095574141,0.204099417,0.110454082,0.108525276,0.093645334,0.170965195,0.046904087,0.07731986,0.124061108,0.218263388,0.139721632,0.09420228,0.078541756
5,5,round laze,0.124897957,0.15550518,0.108820915,0.030607224,0.046684265,0.1719625,0.125373125,0.125278234,0.046589375,0.234150887,0.156879663,0.187561512,0.077271223,0.18661809,0.092908859,0.109346867,0.09370923,0.234092474,0.156327009,0.140383244,0.077765465,0.218693495,0.124963522,0.14092803,0.093729973,0.187047005,0.109835863,0.093317032,0.077211142,0.327127934,0.218896866,0.249916792,0.108231068,0.327553034,0.234108686,0.219321966,0.093444347
5,5,donna whiz,0.124336958,0.202605486,0.140245438,0.078268528,0.062360048,0.21880126,0.172345161,0.156441212,0.046456099,0.203158617,0.108627081,0.156702518,0.094531536,0.203085184,0.109473467,0.108553648,0.093611717,0.2502563,0.140650988,0.156644583,0.109605312,0.234635592,0.140950918,0.125030279,0.093684673,0.187860489,0.109031916,0.094175816,0.078828573,0.156868458,0.078828573,0.078039885,0.078039885,0.280945301,0.187530994,0.202905416,0.093414307
