Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
3,3,ugh reckon,0.084000111,0.334002256,0.249000549,0.250002146,0.085001707,0.169999123,0.088002205,0.084997416,0.081996918,0.435480833,0.351625443,0.353483915,0.083855391,0.294720888,0.183835983,0.210865498,0.110884905,0.197536707,0.086534023,0.086651802,0.111002684,0.354004145,0.232002974,0.243001461,0.122001171,0.337996244,0.253846169,0.215995073,0.084150076,0.504168987,0.366780043,0.420018911,0.137388945,0.199450731,0.087378502,0.062061787,0.112072229
3,3,nit muddle,0.123022556,0.195039511,0.097848177,0.072016954,0.097191334,0.216160774,0.131137609,0.11896944,0.085023165,0.282371044,0.150038004,0.197347879,0.13233304,0.649962425,0.565335035,0.517629385,0.08462739,0.693953991,0.573000193,0.609326601,0.120953798,0.343659878,0.208998919,0.222706079,0.134660959,0.341999292,0.244629383,0.207338333,0.097369909,0.633370638,0.560371161,0.536000729,0.072999477,0.238492727,0.139004946,0.16549325,0.099487782
3,3,pox potman,0.071507215,0.299995899,0.202500343,0.228488684,0.097495556,0.519640207,0.410044432,0.422144651,0.109595776,0.423955917,0.326793194,0.314360142,0.097162724,0.701158524,0.629160166,0.6039958,0.071998358,0.418018103,0.322003126,0.346019745,0.096014977,0.280639648,0.196001053,0.184624672,0.084638596,0.260639668,0.151656151,0.176001072,0.108983517,0.275345087,0.163348436,0.16636157,0.111996651,0.184491873,0.099000931,0.072495222,0.085490942
3,3,kat disown,0.08411622,0.218359232,0.107467175,0.134243011,0.110892057,0.277997971,0.155007124,0.167105913,0.122990847,0.228642702,0.155993462,0.105651855,0.07264924,0.486647129,0.364042997,0.413997889,0.122604132,0.181498051,0.097597837,0.058893919,0.083900213,0.292364597,0.194910288,0.208464384,0.097454309,0.225449324,0.141949892,0.127995014,0.083499432,0.284451962,0.173001289,0.20095253,0.111450672,0.197499752,0.099495649,0.08604908,0.098004103
3,3,buy coring,0.085002422,0.212913752,0.140897036,0.127911329,0.072016716,0.265104294,0.192112923,0.193087578,0.072991371,0.253993034,0.181990147,0.181001663,0.072002888,0.446004629,0.335505486,0.374001741,0.110499144,0.170635223,0.098496199,0.06013608,0.072139025,0.260004759,0.171003103,0.187865734,0.089001656,0.199998379,0.09000206,0.110996723,0.109996319,0.170995235,0.085996389,0.060998917,0.084998846,0.206978798,0.118999481,0.121979952,0.087979317
3,3,goo tenets,0.085507631,0.232106924,0.172026396,0.146599293,0.060080528,0.196470261,0.137097597,0.136389732,0.059372663,0.264892101,0.178380728,0.205519438,0.086511374,0.297995806,0.185528994,0.211484432,0.112466812,0.276467562,0.178465843,0.16400075,0.098001719,0.183999777,0.110658169,0.085998058,0.073341608,0.20133996,0.117344141,0.127998352,0.083995819,0.281953096,0.172656298,0.197957277,0.109296799,0.303342581,0.207351685,0.194045782,0.095990896
3,3,ick abduce,0.060002327,0.226516247,0.104001522,0.16651392,0.122514725,0.195542336,0.124514818,0.073027611,0.071027517,0.264453888,0.190494537,0.193426371,0.073959351,1.698988914,1.565988302,1.625029564,0.133000612,0.340087175,0.244007111,0.207086563,0.096080065,0.369996786,0.285008907,0.273916721,0.084987879,0.246989965,0.161986828,0.162002087,0.085003138,0.275999546,0.152662277,0.190996408,0.123337269,0.196345568,0.099336863,0.073008299,0.097008705
3,3,sly voiced,0.09599781,0.212996006,0.141995192,0.116998196,0.071000814,0.278003216,0.182020426,0.207002401,0.09598279,0.223936319,0.152981758,0.127953529,0.070954561,1.464078426,1.367055655,1.393123865,0.097022772,0.257058382,0.120027542,0.16003561,0.13703084,0.172039032,0.07501626,0.035008192,0.097022772,0.279899359,0.143033266,0.182876587,0.136866093,0.234871149,0.112387419,0.098005056,0.12248373,0.336477995,0.26447773,0.213994265,0.072000265
3,3,low lyrist,0.108341455,0.335853815,0.24000001,0.22751236,0.095853806,0.240854263,0.119859695,0.145000458,0.120994568,0.240141153,0.144474506,0.119146585,0.095666647,0.322664976,0.238519907,0.226998329,0.084145069,0.517493725,0.421458244,0.433348656,0.09603548,0.334018946,0.249543905,0.237983465,0.08447504,0.25947547,0.162144423,0.175000429,0.097331047,0.28033042,0.195327759,0.182999372,0.085002661,0.267000914,0.183021784,0.181998253,0.08397913
3,3,pen rinded,0.073015928,0.211932659,0.127913237,0.138916731,0.084019423,0.23400569,0.149468422,0.149986267,0.084537268,0.22299695,0.151524544,0.138459682,0.071472406,0.268009663,0.173472404,0.196537256,0.094537258,0.218999147,0.11854291,0.124461889,0.100456238,0.172460318,0.074456453,0.07200408,0.098003864,0.271001577,0.187000513,0.172997713,0.084001064,0.279019594,0.195000172,0.19501853,0.084019423,0.277566671,0.191546917,0.193547249,0.086019754
