,Results,Prediction,Accuracy
0,3,3,0.99943024
1,3,3,0.9978935
2,4,3,0.96603596
3,4,6,0.9598078
4,5,5,0.95868105
5,5,3,0.9997178
6,6,3,0.96368575
7,6,6,0.919117
