,Results,Prediction,Accuracy,210/480
0,adhy,andy,0.99999285,Nope
1,adhy,adhy,0.83267766,Match
2,adhy,adhy,0.857673,Match
3,adhy,chris,0.66568553,Nope
4,adhy,adhy,0.9175527,Match
5,adhy,andy,0.9988784,Nope
6,adhy,andy,0.9999994,Nope
7,adhy,bryce,0.9747283,Nope
8,adhy,adhy,0.9999888,Match
9,adhy,bryce,0.98623866,Nope
10,adhy,adhy,0.9998035,Match
11,adhy,andy,0.9796871,Nope
12,adhy,cy,0.99888927,Nope
13,adhy,chris,0.42406997,Nope
14,adhy,adhy,0.9990331,Match
15,adhy,bryce,0.95487463,Nope
16,adhy,adhy,0.99952066,Match
17,adhy,andy,0.97959787,Nope
18,adhy,jonah,0.5094118,Nope
19,adhy,chris,0.88002515,Nope
20,adhy,adhy,0.9999739,Match
21,adhy,andy,0.49957347,Nope
22,adhy,andy,0.49862722,Nope
23,adhy,andy,0.76362383,Nope
24,adhy,cy,0.8911759,Nope
25,adhy,chris,0.98946023,Nope
26,adhy,andy,0.9999994,Nope
27,adhy,bryce,0.9057602,Nope
28,adhy,adhy,0.9648551,Match
29,adhy,andy,0.7922113,Nope
30,adhy,jonah,0.956905,Nope
31,adhy,chris,0.9995484,Nope
32,adhy,andy,0.9999982,Nope
33,adhy,bryce,0.99989593,Nope
34,adhy,jonah,0.9090746,Nope
35,adhy,adhy,0.9988188,Match
36,adhy,cy,0.5679643,Nope
37,adhy,chris,0.9994916,Nope
38,adhy,andy,0.9999993,Nope
39,adhy,bryce,0.98767346,Nope
40,adhy,adhy,0.99998724,Match
41,adhy,bryce,0.9893912,Nope
42,adhy,jonah,0.9598201,Nope
43,adhy,chris,0.99378395,Nope
44,adhy,andy,0.9999994,Nope
45,adhy,adhy,0.6065305,Match
46,adhy,adhy,0.9999844,Match
47,adhy,bryce,0.69102114,Nope
48,alan,alan,0.99976784,Match
49,alan,alan,0.9994124,Match
50,alan,alan,0.9997328,Match
51,alan,alan,0.9734095,Match
52,alan,alan,0.99975616,Match
53,alan,alan,0.8063427,Match
54,alan,alan,0.99977154,Match
55,alan,alan,0.8585608,Match
56,alan,alan,0.9868846,Match
57,alan,alan,0.51245916,Match
58,alan,alan,0.99973065,Match
59,alan,gerald,0.5105487,Nope
60,alan,alan,0.9997769,Match
61,alan,alan,0.9997764,Match
62,alan,alan,0.82303137,Match
63,alan,alan,0.9060901,Match
64,alan,alan,0.99977285,Match
65,alan,alan,0.9588094,Match
66,alan,alan,0.9997787,Match
67,alan,alan,0.99977046,Match
68,alan,alan,0.9991935,Match
69,alan,alan,0.81396747,Match
70,alan,alan,0.99976486,Match
71,alan,alan,0.57256615,Match
72,alan,alan,0.9997707,Match
73,alan,alan,0.9997683,Match
74,alan,alan,0.9997706,Match
75,alan,alan,0.79040605,Match
76,alan,alan,0.9997304,Match
77,alan,alan,0.7370833,Match
78,alan,alan,0.9997708,Match
79,alan,alan,0.99977106,Match
80,alan,alan,0.9997714,Match
81,alan,alan,0.8858849,Match
82,alan,alan,0.99975616,Match
83,alan,alan,0.58781517,Match
84,alan,alan,0.9997043,Match
85,alan,alan,0.999764,Match
86,alan,alan,0.9997677,Match
87,alan,alan,0.99650574,Match
88,alan,alan,0.91971767,Match
89,alan,alan,0.9426925,Match
90,alan,alan,0.99976915,Match
91,alan,alan,0.9997683,Match
92,alan,alan,0.9997696,Match
93,alan,alan,0.5709233,Match
94,alan,gerald,0.5504684,Nope
95,alan,gerald,0.7299588,Nope
96,andy,andy,0.98023623,Match
97,andy,andy,0.9999987,Match
98,andy,chris,0.99351704,Nope
99,andy,andy,0.99998295,Match
100,andy,andy,0.9999994,Match
101,andy,adhy,0.90411454,Nope
102,andy,chris,0.99030465,Nope
103,andy,andy,0.9998808,Match
104,andy,chris,0.99986756,Nope
105,andy,andy,0.99923944,Match
106,andy,andy,0.9999993,Match
107,andy,jonah,0.69988203,Nope
108,andy,andy,0.9999974,Match
109,andy,chris,0.9988279,Nope
110,andy,chris,0.99989533,Nope
111,andy,andy,0.9999169,Match
112,andy,andy,0.9999993,Match
113,andy,jonah,0.6759025,Nope
114,andy,andy,0.99999785,Match
115,andy,chris,0.99780756,Nope
116,andy,chris,0.99985194,Nope
117,andy,andy,0.9999993,Match
118,andy,andy,0.9999994,Match
119,andy,andy,0.9884455,Match
120,andy,adhy,0.6524446,Nope
121,andy,chris,0.75916576,Nope
122,andy,chris,0.8899223,Nope
123,andy,andy,0.99999845,Match
124,andy,andy,0.9999994,Match
125,andy,adhy,0.8618239,Nope
126,andy,andy,0.9514146,Match
127,andy,chris,0.96016693,Nope
128,andy,andy,0.5564448,Match
129,andy,andy,0.99999917,Match
130,andy,andy,0.9999994,Match
131,andy,adhy,0.7880866,Nope
132,andy,andy,0.9999993,Match
133,andy,chris,0.9950317,Nope
