Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-NG|M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-NG|VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
andy,owned,0.15176487,-0.063813686,0.087951183,0.048402309,0.200167179,0.112215996,0.02409029,0.136306286,0.135514021,0.247730017,0.111423731,-0.03199625,0.079427481,0.128000259,0.23942399,0.15999651,-0.047998905,0.111997604,0.136005163,0.296001673,0.184004068,0.719405174,-0.119718552,0.415682554,0.447921753,0.983322859,0.143881035,-0.029929638,0.103920639,0.111980438,0.245830715,0.000996968,0.001465684,0.000656335,0.001809943,0.001548979,0.031574802,0.038284247,0.025619041,0.042543429,0.03935707,0.072492599,0.224257469,0.18391633,0.3356812,0.103517771,0.215733767,0.26351428,0.375730276,0.080001354,0.191425085,0.264005423,0.375429153,0.256011724,0.631416321,0.711436033,1.08684063,0.085337241,0.210472107,0.237145344,0.36228021,0.000261994,0.000290255,0.002125056,0.000530653,0.016186231,0.017036876,0.046098333,0.02303591,0.15192008,0.30368495,0.31191659,0.463681459,0.215515375,0.327731371,0.399519444,0.511735439,0.367435455,0.631416321,0.711436033,0.975416899,0.183717728,0.31570816,0.355718017,0.487708449,0.002022181,0.000289115,0.00383713,0.001154592,0.044968664,0.017003387,0.061944572,0.033979295,0.263917685,0.415682554,0.447921753,0.599686623
andy,admit,0.142794132,-0.039091349,0.103702784,0.1199646,0.262758732,0.159055948,-0.056043148,0.1030128,0.048002243,0.207058191,0.104045391,-0.080048323,0.023997068,0.040279627,0.144325018,0.12032795,-0.024280071,0.096047878,0.104251623,0.224579573,0.128531694,0.654755116,-0.199462891,0.32676053,0.312498093,0.838721514,0.130951023,-0.049865723,0.081690133,0.078124523,0.209680378,0.00044319,0.000573288,0.001491282,0.001590935,0.002439166,0.02105209,0.023943424,0.038617127,0.039886528,0.049387909,0.063921452,0.206715584,0.167966843,0.310760975,-0.03204608,0.127009869,0.08828187,0.247337818,0.015999556,0.120044947,0.14453125,0.248576641,0.047874928,0.453770399,0.400779963,0.806675434,0.015958309,0.1512568,0.133593321,0.268891811,0.002302443,0.002318885,0.001677152,0.001315154,0.047983779,0.048154803,0.040953052,0.036265049,0.08791852,0.230712652,0.208246469,0.351040602,0.064001799,0.223057747,0.192533493,0.351589441,0.151920319,0.453770399,0.400779963,0.702630043,0.075960159,0.2268852,0.200389981,0.351315022,0.000286005,2.93E-05,0.000123449,1.51E-07,0.016911676,0.005412835,0.011110752,0.000388088,0.183966398,0.32676053,0.312498093,0.455292225
andy,umbra,0.104310036,0.064163685,0.168473721,0.136203051,0.240513086,0.072039366,0.136459351,0.208498716,0.231446743,0.303486109,0.094987392,-0.077992201,0.016995192,0.08800149,0.182988882,0.16599369,-0.064001799,0.101991892,0.088024139,0.25401783,0.152025938,0.589356422,0.058629036,0.49595952,0.543675423,0.981005907,0.117871284,0.014657259,0.12398988,0.135918856,0.245251477,0.001572613,0.010685935,0.007017443,0.004571879,0.002455735,0.039656182,0.103372797,0.083770182,0.067615668,0.049555371,0.272662401,0.376972437,0.367649794,0.471959829,0.153454542,0.225493908,0.319448233,0.391487598,0.023999691,0.118987083,0.176025629,0.271013021,0.450116634,0.721453428,0.863123655,1.134460449,0.150038878,0.240484476,0.287707885,0.378153483,0.015467036,0.016807649,0.009935542,0.010228254,0.124366539,0.129644315,0.099677191,0.10113483,0.289657593,0.393967628,0.455651283,0.559961319,0.255446434,0.3274858,0.407472372,0.479511738,0.545104027,0.721453428,0.863123655,1.039473057,0.272552013,0.360726714,0.431561828,0.519736528,0.000585202,0.002209917,0.001160604,0.003236068,0.024190942,0.047009752,0.034067635,0.056886444,0.391649485,0.49595952,0.543675423,0.647985458
andy,first,0.104055882,-0.023798704,0.080257177,0.113382578,0.217438459,0.137181282,-0.017024755,0.120156527,0.086105585,0.223286867,0.103130341,-0.047954321,0.05517602,0.185404062,0.288534403,0.233358383,-0.145112514,0.088245869,0.046637058,0.279995441,0.191749573,0.76947546,-0.233890295,0.343835592,0.431529284,1.009255171,0.153895092,-0.058472574,0.085958898,0.107882321,0.252313793,0.003271934,0.003512437,0.000718268,0.003421694,0.001379019,0.057200819,0.059265819,0.026800518,0.058495247,0.037135148,0.096357822,0.200413704,0.199488163,0.303544044,0.038151264,0.175332546,0.271509647,0.408690929,0.040291548,0.143421888,0.232041121,0.335171461,0.174800634,0.519168139,0.703038931,1.047406435,0.058266878,0.173056046,0.23434631,0.349135478,0.001089335,0.000815904,0.001300759,0.002910212,0.033005079,0.028564026,0.036066036,0.053946383,0.151533842,0.255589724,0.384892225,0.488948107,0.126397133,0.263578415,0.318146706,0.455327988,0.277930975,0.519168139,0.703038931,0.944276094,0.138965487,0.259584069,0.351519465,0.472138047,0.000315927,3.19E-05,0.002227482,0.000565156,0.017774338,0.005648858,0.04719621,0.023773014,0.239779711,0.343835592,0.431529284,0.535585165
andy,handy,0.104269981,-0.032612324,0.071657658,0.176030159,0.28030014,0.208642483,-0.087984324,0.120658159,0.024150372,0.232792854,0.112134695,0.015543222,0.127677917,0.09591341,0.208048105,0.080370188,0.072589636,0.152959824,0.215619326,0.295989513,0.14302969,0.648447037,-0.032463789,0.472953558,0.511713266,1.017130613,0.129689407,-0.008115947,0.118238389,0.127928317,0.254282653,0.002449563,0.004684059,0.001156768,0.007266105,0.001671939,0.04949306,0.068440187,0.034011285,0.085241454,0.04088935,0.088045835,0.192315817,0.200180531,0.304450512,0.039693594,0.248336077,0.120063782,0.328706264,0.168503046,0.280637741,0.311532736,0.423667431,0.296242476,0.721289635,0.631777048,1.056824207,0.098747492,0.240429878,0.210592349,0.352274736,0.004233863,0.001997072,0.009246395,0.003969773,0.06506814,0.044688607,0.096158175,0.063006135,0.215723753,0.319993734,0.296093941,0.400363922,0.192653418,0.4012959,0.335683107,0.54432559,0.408377171,0.721289635,0.631777048,0.944689512,0.204188585,0.360644817,0.315888524,0.472344756,0.00026612,0.003305021,0.000783651,0.010362481,0.016313191,0.057489313,0.027993768,0.101796272,0.368683577,0.472953558,0.511713266,0.615983248
andy,outgo,0.150990963,-0.056000471,0.094990492,0.087999821,0.238990784,0.144000292,-0.063978434,0.080021858,0.023810863,0.167811155,0.087789297,0.072310209,0.160099506,0.249415159,0.337204456,0.17710495,-0.121660709,0.055444241,-0.041089058,0.136015892,0.080571651,0.640457153,-0.169329405,0.390556097,0.320136786,0.880022287,0.128091431,-0.042332351,0.097639024,0.080034196,0.220005572,0.001765549,0.006697092,0.001999697,0.015528423,0.00795818,0.042018439,0.081835761,0.044717971,0.124613091,0.089208632,0.024021387,0.17501235,0.111810684,0.262801647,0.096121073,0.240121365,0.273226023,0.417226315,0.12775445,0.215543747,0.208326101,0.296115398,0.24789691,0.630677462,0.593362808,0.97614336,0.082632303,0.210225821,0.197787603,0.32538112,0.002826597,0.001081006,0.006597023,0.006604106,0.053165753,0.032878659,0.081222059,0.081265653,0.184120893,0.335111856,0.361225843,0.512216806,0.151565313,0.295565605,0.232136965,0.376137257,0.335686207,0.630677462,0.593362808,0.888354063,0.167843103,0.315338731,0.296681404,0.444177032,0.000529933,0.000781953,0.008331969,0.009258822,0.023020271,0.027963422,0.091279621,0.096222772,0.239565134,0.390556097,0.320136786,0.471127748
andy,limey,0.087001562,0.065000534,0.152002096,0.216009855,0.303011417,0.151009321,-0.040015459,0.110993862,0.112987518,0.26399684,0.153002977,-0.088996649,0.064006329,0.038999557,0.192002535,0.127996206,-0.055997372,0.071998835,0.081032276,0.209028482,0.137029648,0.656039715,-0.120008945,0.399001122,0.449029207,0.968039274,0.131207943,-0.030002236,0.09975028,0.112257302,0.242009819,0.000716382,0.004427293,0.001634814,0.005702275,0.002597707,0.026765321,0.066537906,0.040432838,0.075513409,0.050967706,0.175994396,0.262995958,0.328997374,0.415998936,0.02399087,0.175000191,0.151987076,0.302996397,-0.016997814,0.136005163,0.120031834,0.273034811,0.182987452,0.574001312,0.601016283,0.992030144,0.060995817,0.191333771,0.200338761,0.330676715,0.010338523,0.004231755,0.012670063,0.005684335,0.101678527,0.06505194,0.112561376,0.07539453,0.240000725,0.327002287,0.367996931,0.454998493,0.095989704,0.246999025,0.233019352,0.384028673,0.335990429,0.574001312,0.601016283,0.839027166,0.167995214,0.287000656,0.300508142,0.419513583,0.010369587,0.003200261,0.009109473,0.002518358,0.101831169,0.056570849,0.095443562,0.050183241,0.311999559,0.399001122,0.449029207,0.536030769
andy,jades,0.167829752,0.024002314,0.191832066,0.192003965,0.359833717,0.168001652,-0.048002958,0.119998693,0.128999472,0.297001123,0.17700243,-0.080998421,0.096004009,0.102995872,0.279998302,0.183994293,-0.118978024,0.06501627,0.056010246,0.240004539,0.17498827,0.871816397,-0.223977089,0.472851038,0.480009556,1.176837683,0.174363279,-0.055994272,0.118212759,0.120002389,0.294209421,4.58E-05,0.003685158,0.002915362,0.003216463,0.002484822,0.006768852,0.060705506,0.053994095,0.056713874,0.049847992,0.144001007,0.311830759,0.321003437,0.488833189,0.048001051,0.216002703,0.231995344,0.399996996,-0.015982151,0.161020279,0.159006119,0.336008549,0.176019907,0.688853741,0.7120049,1.224838734,0.058673302,0.229617914,0.237334967,0.408279578,0.006484075,0.005824981,0.006582166,0.005890294,0.080523757,0.076321561,0.081130552,0.076748248,0.240005016,0.407834768,0.42399931,0.591829062,0.113017321,0.281018972,0.28800559,0.456007242,0.353022337,0.688853741,0.7120049,1.047836304,0.176511168,0.34442687,0.35600245,0.523918152,0.008062937,0.008041123,0.009247146,0.009223783,0.089793861,0.089672309,0.096162081,0.096040529,0.305021286,0.472851038,0.480009556,0.647839308
andy,loamy,0.128001928,-0.047002316,0.080999613,0.096002102,0.22400403,0.143004417,-0.064004183,0.079000235,0.08901906,0.232023478,0.153023243,-0.049021006,0.104002237,0.038979769,0.192003012,0.088000774,-0.024008036,0.063992739,0.113999128,0.201999903,0.138007164,0.650037527,-0.18403554,0.327994823,0.338000059,0.850030422,0.130007505,-0.046008885,0.081998706,0.084500015,0.212507606,0.000632807,0.000272643,0.000272786,0.00103167,0.000347962,0.025155647,0.016511894,0.016516247,0.032119622,0.018653751,0.031997919,0.159999847,0.185021162,0.31302309,0.039998055,0.183002472,0.127998829,0.271003246,0.014971733,0.167994976,0.152978897,0.30600214,0.086967707,0.510997295,0.465998888,0.890028477,0.028989236,0.170332432,0.155332963,0.296676159,0.000163368,0.000136378,0.000817043,0.000506647,0.012781562,0.011678097,0.028583961,0.022508826,0.136000156,0.264002085,0.224000931,0.352002859,0.103990793,0.246995211,0.241997957,0.385002375,0.23999095,0.510997295,0.465998888,0.737005234,0.119995475,0.255498648,0.232999444,0.368502617,0.0005123,0.000144617,0.000161946,0.000544484,0.022634038,0.012025676,0.012725819,0.023334181,0.199992895,0.327994823,0.338000059,0.466001987
andy,tiers,0.159699917,-0.039991856,0.119708061,0.054991961,0.214691877,0.094983816,-0.039977312,0.055006504,0.065003633,0.15998745,0.104980946,-0.016984224,0.087996721,0.127461433,0.232442379,0.144445658,-0.080449104,0.063996553,0.071834087,0.216279745,0.152283192,0.656393528,-0.177402496,0.32670784,0.319291115,0.823401451,0.131278706,-0.044350624,0.08167696,0.079822779,0.205850363,0.000857803,0.000696715,0.000836738,0.001056479,0.000999162,0.02928828,0.026395358,0.028926424,0.032503524,0.031609527,0.015014648,0.174714565,0.119995594,0.279695511,0.048019409,0.143003225,0.192465067,0.287448883,0.047012329,0.151993275,0.199295521,0.304276466,0.110046387,0.469711065,0.511756182,0.87142086,0.036682129,0.156570355,0.170585394,0.29047362,0.000352363,0.000267115,0.00193116,0.000157918,0.018771343,0.016343638,0.043944962,0.012566528,0.10301137,0.262711287,0.247457027,0.407156944,0.112015963,0.206999779,0.264299154,0.35928297,0.215027332,0.469711065,0.511756182,0.766439915,0.107513666,0.234855533,0.255878091,0.383219957,4.05E-05,0.001551886,0.000141829,0.001145959,0.006367209,0.039393985,0.011909182,0.033852012,0.167007923,0.32670784,0.319291115,0.478991032
