Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-NG|M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
bryce,death,0.111341238,-0.023296833,0.088044405,0.192847967,0.304189205,0.2161448,-0.111551523,0.104593277,-0.024060965,0.192083836,0.087490559,-0.016052008,0.071438551,0.095942497,0.183433056,0.111994505,0.015999079,0.127993584,0.128113508,0.240108013,0.112114429,0.639085531,-0.134901285,0.392069817,0.392843008,0.91981411,0.127817106,-0.033725321,0.098017454,0.098210752,0.229953527,0.002549099,0.002983511,0.00058257,0.008268632,0.003070772,0.0504886,0.054621525,0.024136484,0.090932017,0.055414551,0.081296444,0.192637682,0.168787003,0.280128241,-0.040112972,0.176031828,0.071881533,0.288026333,0.111941576,0.199432135,0.224056005,0.311546564,0.153125048,0.568101645,0.464724541,0.879701138,0.051041683,0.189367215,0.15490818,0.293233713,0.006466659,0.000144916,0.005933734,0.000267115,0.080415542,0.012038088,0.077030733,0.016343664,0.152734995,0.264076233,0.2647295,0.376070738,0.087880611,0.304025412,0.199995041,0.416139841,0.240615606,0.568101645,0.464724541,0.792210579,0.120307803,0.284050822,0.23236227,0.396105289,0.002103046,0.000797968,0.002095275,0.000802767,0.045858974,0.028248335,0.045774175,0.028333135,0.280728579,0.392069817,0.392843008,0.504184246
bryce,unzip,0.151945114,-0.071999788,0.079945326,0.056297064,0.208242178,0.128296852,0.055703163,0.184000015,0.151703596,0.280000448,0.096000433,0.120000839,0.216001272,0.288227558,0.384227991,0.168226719,-0.072227955,0.095998764,0.079845667,0.248072386,0.152073622,0.69654274,0.031476259,0.575945377,0.576073885,1.120543003,0.139308548,0.007869065,0.143986344,0.144018471,0.280135751,0.000788935,0.009218734,0.004397101,0.010889505,0.005677319,0.02808799,0.096014239,0.066310642,0.104352793,0.075347988,0.112000227,0.263945341,0.20800066,0.359945774,0.271704435,0.400001287,0.439931154,0.568228006,0.215999603,0.312000036,0.368073225,0.464073658,0.599704266,0.975946665,1.016005039,1.392247438,0.199901422,0.325315555,0.338668346,0.464082479,0.006570722,0.004760782,0.014096424,0.010845372,0.081059991,0.068998423,0.118728361,0.104141116,0.328001499,0.479946613,0.496228218,0.648173332,0.367703199,0.496000051,0.519776821,0.648073673,0.695704699,0.975946665,1.016005039,1.296247005,0.347852349,0.487973332,0.50800252,0.648123503,0.000788112,0.000128856,0.000277268,4.97E-09,0.028073341,0.011351495,0.016651377,7.05E-05,0.424000263,0.575945377,0.576073885,0.728018999
bryce,dorky,0.055884838,0.056107521,0.111992359,0.176089764,0.231974602,0.119982243,0.03204608,0.152028322,0.159856081,0.279838324,0.127810001,0.031993628,0.159803629,0.191995144,0.319805145,0.160001516,0.135998726,0.296000242,0.223987579,0.383989096,0.087988853,0.551667452,0.256145954,0.719824553,0.751928568,1.215607166,0.11033349,0.064036489,0.179956138,0.187982142,0.303901792,0.001582345,0.002430521,0.006423799,0.000748333,0.004139821,0.039778695,0.049300316,0.080148603,0.02735568,0.064341444,0.208135843,0.264020681,0.335945845,0.391830683,0.191849709,0.311831951,0.351851225,0.471833467,0.32799387,0.455803871,0.415982723,0.543792725,0.727979422,1.031656504,1.103779793,1.407456875,0.242659807,0.343885501,0.367926598,0.469152292,0.005527736,0.009965771,0.001795289,0.005778507,0.074348747,0.099828706,0.042370847,0.076016492,0.367939472,0.42382431,0.527940989,0.583825827,0.487849951,0.607832193,0.575838804,0.695821047,0.855789423,1.031656504,1.103779793,1.279646873,0.427894711,0.515828252,0.551889896,0.639823437,0.007189261,0.016929451,0.0011471,0.006271465,0.084789513,0.130113222,0.03386887,0.07919258,0.663939714,0.719824553,0.751928568,0.807813406
bryce,thick,0.119965076,0.07208395,0.192049026,0.27220583,0.392170906,0.20012188,-0.096173048,0.103948832,0.047669649,0.247791529,0.143842697,0.024000883,0.16784358,0.128130913,0.27197361,0.10413003,0.039868832,0.143998861,0.175868988,0.279999018,0.136000156,0.704059839,0.039780617,0.6078403,0.62387538,1.191935062,0.140811968,0.009945154,0.151960075,0.155968845,0.297983766,0.00133254,0.005405098,0.00140929,0.008803573,0.004130152,0.036503979,0.073519369,0.037540512,0.093827357,0.064266262,0.176032782,0.295997858,0.319875479,0.439840555,0.071670532,0.271792412,0.175800562,0.375922441,0.167999744,0.311842442,0.303999901,0.447842598,0.415703058,0.879632711,0.799675941,1.263605595,0.138567686,0.293210904,0.266558647,0.421201865,0.003372554,0.000406827,0.006240781,0.001553678,0.058073697,0.020169942,0.078998614,0.03941672,0.343876362,0.463841438,0.448006392,0.567971468,0.215669394,0.415791273,0.35166955,0.55179143,0.559545755,0.879632711,0.799675941,1.119762897,0.279772878,0.439816356,0.399837971,0.559881449,0.008218513,0.001154409,0.004640394,0.000130897,0.090656017,0.033976598,0.068120434,0.011441015,0.487875223,0.6078403,0.62387538,0.743840456
bryce,nasal,0.104105234,0.119772911,0.223878145,0.263774157,0.367879391,0.144001245,-0.039658308,0.104342937,0.104309559,0.248310804,0.143967867,-0.016309977,0.12765789,0.095249414,0.239217281,0.111559391,0.168441057,0.280000448,0.29669404,0.408253431,0.128252983,0.631886721,0.232245684,0.735879421,0.76002717,1.263660908,0.126377344,0.058061421,0.183969855,0.190006793,0.315915227,0.000334791,0.010357407,0.006775343,0.011048923,0.007226517,0.018297302,0.101771349,0.082312473,0.105113858,0.085008923,0.224115849,0.328221083,0.368083715,0.47218895,0.087999582,0.232000828,0.199558973,0.343560219,0.263690472,0.407658339,0.391943455,0.535911322,0.575805902,0.967880249,0.959586143,1.35166049,0.191935301,0.32262675,0.319862048,0.450553497,0.008493513,0.007737363,0.010996944,0.009600806,0.092160257,0.08796228,0.104866315,0.097983704,0.351773739,0.455878973,0.46333313,0.567438364,0.368000031,0.512001276,0.496253014,0.640254259,0.719773769,0.967880249,0.959586143,1.207692623,0.359886885,0.483940125,0.479793072,0.603846312,0.000131646,0.001574856,0.000541859,0.002651077,0.011473721,0.039684461,0.023277873,0.051488613,0.631774187,0.735879421,0.76002717,0.864132404
bryce,email,0.088360548,0.007819414,0.096179962,0.119617462,0.20797801,0.111798048,0.023998976,0.135797024,0.119999886,0.231797934,0.09600091,0.040071726,0.136072636,0.216243744,0.312244654,0.176172018,-0.08024478,0.095927238,0.055658817,0.231830835,0.135903597,0.608235121,-0.008354664,0.46397686,0.511519909,0.983851433,0.121647024,-0.002088666,0.115994215,0.127879977,0.245962858,0.001259735,0.002888204,0.000530194,0.004384805,0.002078828,0.035492745,0.053742013,0.023025945,0.066217863,0.045594167,0.143616438,0.231976986,0.239617348,0.327977896,0.160071611,0.271869659,0.336243629,0.448041677,0.135998964,0.231999874,0.271902561,0.367903471,0.439687014,0.735846519,0.847763538,1.143923044,0.146562338,0.245282173,0.282587846,0.381307681,0.000151382,0.000530171,0.002419791,0.003738583,0.012303732,0.023025441,0.049191372,0.06114395,0.279689074,0.368049622,0.455861092,0.54422164,0.25599885,0.367796898,0.391902447,0.503700495,0.535687923,0.735846519,0.847763538,1.047922134,0.267843962,0.36792326,0.423881769,0.523961067,0.000280613,3.19E-08,0.002045354,0.000820982,0.016751518,0.000178703,0.045225592,0.028652776,0.375616312,0.46397686,0.511519909,0.599880457
bryce,gipsy,0.095999718,0.208492279,0.304491997,0.376309633,0.472309351,0.167817354,-0.088122129,0.079695225,0.055936098,0.223753452,0.144058228,0.080047846,0.224106073,0.183922291,0.327980518,0.103874445,0.023994923,0.127869368,0.119864941,0.223739386,0.095870018,0.607619762,0.224412918,0.736162663,0.736032963,1.247782707,0.121523952,0.05610323,0.184040666,0.184008241,0.311945677,0.001067997,0.015209222,0.010052315,0.019165557,0.013843947,0.032680226,0.123325673,0.100261235,0.138439722,0.117660305,0.288187504,0.384187222,0.432245731,0.528245449,0.135983944,0.303801298,0.239858389,0.407675743,0.207917213,0.351975441,0.303787231,0.447845459,0.632088661,1.039963961,0.975891352,1.383766651,0.21069622,0.346654654,0.325297117,0.46125555,0.005797273,0.001636707,0.009600229,0.003769136,0.076139826,0.040456239,0.097980757,0.061393293,0.512293577,0.608293295,0.616168022,0.71216774,0.263853312,0.431670666,0.35972333,0.527540684,0.776146889,1.039963961,0.975891352,1.239708424,0.388073444,0.51998198,0.487945676,0.619854212,0.030861283,0.015597777,0.03288194,0.017043575,0.175673797,0.124891059,0.181333781,0.130551043,0.640162945,0.736162663,0.736032963,0.832032681
bryce,wakes,0.14392519,-0.063928843,0.079996347,0.056000948,0.199926138,0.11992979,0.039692402,0.159622192,0.167999268,0.287929058,0.128306866,-0.039999962,0.088306904,0.03200078,0.160307646,0.072000742,0.103999615,0.176000357,0.184487343,0.256488085,0.080487728,0.544650316,0.039763212,0.5039258,0.440488338,0.904650927,0.108930063,0.009940803,0.12598145,0.110122085,0.226162732,0.000973464,0.005894341,0.002389197,0.005970665,0.003253319,0.031200379,0.07677461,0.048879415,0.07727008,0.057037874,0.09569335,0.23961854,0.224000216,0.367925406,0.127999306,0.247929096,0.200000048,0.319929838,0.136000395,0.264307261,0.216488123,0.344794989,0.35969305,0.751854897,0.640488386,1.032650232,0.119897683,0.250618299,0.213496129,0.344216744,0.000455392,0.000157807,0.000150716,0.000576144,0.021339908,0.012562129,0.012276646,0.024003008,0.184000254,0.327925444,0.256000996,0.399926186,0.303999662,0.423929453,0.384487391,0.504417181,0.487999916,0.751854897,0.640488386,0.904343367,0.243999958,0.375927448,0.320244193,0.452171683,0.007199929,0.004608385,0.008254377,0.005459184,0.084852396,0.067885086,0.090853601,0.073886291,0.36000061,0.5039258,0.440488338,0.584413528
bryce,zings,0.103471756,-0.008019924,0.095451832,0.200077772,0.303549528,0.208097696,-0.072113276,0.135984421,0.056355953,0.26445365,0.128469229,-0.048309088,0.080160141,0.024172068,0.152641296,0.072481155,0.095374346,0.167855501,0.223482132,0.295963287,0.128107786,0.640627623,-0.033067942,0.479451895,0.504087925,1.016607761,0.128125525,-0.008266985,0.119862974,0.126021981,0.25415194,0.002524943,0.005473768,0.001578468,0.010069834,0.004866282,0.050248808,0.07398492,0.039729932,0.100348562,0.069758743,0.127964497,0.231436253,0.256433725,0.359905481,0.008046865,0.216144562,0.080528021,0.288625717,0.119546413,0.248015642,0.2476542,0.376123428,0.255557775,0.695596457,0.584615946,1.024654627,0.085185925,0.231865486,0.194871982,0.341551542,0.004480542,0.00025408,0.009825176,0.002166613,0.06693685,0.015939875,0.099122026,0.046546887,0.208124638,0.311596394,0.280605793,0.384077549,0.175902367,0.384000063,0.304010153,0.512107849,0.384027004,0.695596457,0.584615946,0.896185398,0.192013502,0.347798228,0.292307973,0.448092699,0.000519137,0.002621146,0.000273882,0.008195879,0.022784586,0.051197126,0.016549382,0.090531093,0.375980139,0.479451895,0.504087925,0.607559681
bryce,monks,0.175330162,-0.055404186,0.119925976,0.096596241,0.271926403,0.152000427,0.024255514,0.176255941,0.184004068,0.336004496,0.159748554,-0.055605888,0.104142666,0.087905645,0.2476542,0.143511534,0.040173769,0.183685303,0.112117529,0.255629063,0.07194376,0.702534437,-0.046580791,0.584009886,0.480623484,1.111214161,0.140506887,-0.011645198,0.146002471,0.120155871,0.27780354,0.001606234,0.002607153,0.001589165,0.001912113,0.001607527,0.040077843,0.051060284,0.039864333,0.04372772,0.040093982,0.120851755,0.296181917,0.280600309,0.455930471,0.12839818,0.280398607,0.271909714,0.423910141,0.128079414,0.287827969,0.200023174,0.359771729,0.37732935,0.864408493,0.752533197,1.239612341,0.12577645,0.288136164,0.250844399,0.413204114,1.82E-05,6.23E-05,0.001955979,0.00239759,0.004267888,0.007896167,0.044226455,0.048965194,0.224994421,0.400324583,0.368505955,0.543836117,0.312083483,0.46408391,0.384027243,0.53602767,0.537077904,0.864408493,0.752533197,1.079863787,0.268538952,0.432204247,0.376266599,0.539931893,0.003792252,0.002032626,0.000120455,3.05E-05,0.061581266,0.045084652,0.010975208,0.005521406,0.408679724,0.584009886,0.480623484,0.655953646
