,Results,Prediction,Accuracy
0,3,3,0.9816443
1,3,3,0.98158514
2,4,4,0.9871782
3,4,4,0.9877171
4,5,6,0.9797936
5,5,5,0.9292477
6,6,6,0.9513334
7,6,4,0.98259294
