,Results,Prediction,Accuracy
0,3,6,0.93886024
1,3,3,0.5446316
2,4,5,0.487319
3,4,4,0.9953353
4,5,4,0.44401544
5,5,5,0.9951108
6,6,5,0.9984515
7,6,5,0.8030579
