,Results,Prediction,Accuracy
0,3,3,0.9956403
1,3,3,0.99500126
2,4,4,0.9777413
3,4,4,0.9813452
4,5,6,0.6610192
5,5,5,0.9909905
6,6,6,0.99272513
7,6,6,0.9990355
