Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
cy,~_v,0_22,0,22,5,0.131994724,-0.021999121,0.109995604,0.09099865,0.222993374,0.11299777
cy,v_i,22_9,22,9,5,0.11299777,0.018001556,0.130999327,0.079001665,0.191999435,0.061000109
cy,i_e,9_5,9,5,5,0.061000109,0.041999102,0.10299921,0.294677019,0.355677128,0.252677917
cy,e_w,5_23,5,23,5,0.252677917,-0.124049187,0.128628731,0.021996498,0.274674416,0.146045685
cy,y_e,25_5,25,5,6,0.073018789,0.063001394,0.136020184,0.209147215,0.282166004,0.146145821
cy,e_s,5_19,5,19,6,0.146145821,-0.051001549,0.095144272,0.076999187,0.223145008,0.128000736
cy,s_t,19_20,19,20,6,0.128000736,-0.0260005,0.102000237,0.05461359,0.182614326,0.08061409
cy,t_e,20_5,20,5,6,0.08061409,0.07099843,0.15161252,0.244001865,0.324615955,0.173003435
cy,e_r,5_18,5,18,6,0.173003435,-0.043000221,0.130003214,0.091997147,0.265000582,0.134997368
cy,r_~,18_0,18,0,6,0.134997368,-0.02199626,0.113001108,0.098999739,0.233997107,0.120995998
cy,~_k,0_11,0,11,6,0.120995998,0.209634304,0.330630302,0.28563261,0.406628609,0.075998306
cy,k_e,11_5,11,5,6,0.075998306,0.031999826,0.107998133,0.181057453,0.257055759,0.149057627
cy,e_g,5_7,5,7,6,0.149057627,0.004999638,0.154057264,0.131056547,0.280114174,0.12605691
cy,q_a,17_1,17,1,3,0.098990202,0.135072231,0.234062433,0.386651993,0.485642195,0.251579762
cy,a_t,1_20,1,20,3,0.251579762,-0.115581989,0.135997772,0.046999693,0.298579454,0.162581682
cy,t_~,20_0,20,0,3,0.162581682,-0.057999134,0.104582548,0.056020021,0.218601704,0.114019156
cy,~_p,0_16,0,16,3,0.114019156,0.299060583,0.413079739,0.402060747,0.516079903,0.103000164
cy,p_a,16_1,16,1,3,0.103000164,0.062000751,0.165000916,0.293806553,0.396806717,0.231805801
cy,a_n,1_14,1,14,3,0.231805801,-0.114768505,0.117037296,-0.037628889,0.194176912,0.077139616
cy,n_t,14_20,14,20,3,0.077139616,-0.003999949,0.073139668,0.153628588,0.230768204,0.157628536
cy,t_r,20_18,20,18,3,0.157628536,-0.010999441,0.146629095,0.129001141,0.286629677,0.140000582
cy,r_y,18_25,18,25,3,0.140000582,-0.075998783,0.064001799,0.004000664,0.144001245,0.079999447
cy,t_u,20_21,20,21,4,0.125010967,0.084017277,0.209028244,0.182030678,0.307041645,0.098013401
cy,u_s,21_19,21,19,4,0.098013401,0.37968564,0.477699041,0.493708611,0.591722012,0.11402297
cy,s_k,19_11,19,11,4,0.11402297,-0.040023088,0.073999882,0.043997049,0.15802002,0.084020138
cy,k_~,11_0,11,0,4,0.084020138,0.186001301,0.270021439,0.277997971,0.362018108,0.09199667
cy,~_j,0_10,0,10,4,0.09199667,0.241001129,0.332997799,0.387019873,0.479016542,0.146018744
cy,j_u,10_21,10,21,4,0.146018744,-0.052020073,0.093998671,0.041001558,0.187020302,0.093021631
cy,u_n,21_14,21,14,4,0.093021631,0.131017685,0.224039316,0.27104187,0.364063501,0.140024185
cy,n_k,14_11,14,11,4,0.140024185,-0.066024303,0.073999882,0.050996542,0.191020727,0.117020845
cy,k_s,11_19,11,19,4,0.117020845,0.011001587,0.128022432,0.127019405,0.244040251,0.116017818
cy,p_a,16_1,16,1,5,0.10299778,0.022001028,0.124998808,0.146000385,0.248998165,0.123999357
cy,a_n,1_14,1,14,5,0.123999357,0.028001785,0.152001143,0.161000013,0.284999371,0.132998228
cy,n_i,14_9,14,9,5,0.132998228,-0.062000513,0.070997715,0.06200099,0.194999218,0.124001503
cy,i_c,9_3,9,3,5,0.124001503,0.35469985,0.478701353,0.479644537,0.60364604,0.124944687
