,Results,Prediction,Accuracy,27/80
0,adhy,cy,0.9982626,Nope
1,adhy,andy,0.9972247,Nope
2,adhy,andy,0.99438936,Nope
3,adhy,adhy,0.7880131,Match
4,adhy,adhy,0.35839307,Match
5,adhy,cy,0.9725715,Nope
6,adhy,andy,0.6690513,Nope
7,adhy,adhy,0.63464487,Match
8,alan,alan,0.999313,Match
9,alan,alan,0.99947864,Match
10,alan,alan,0.99953926,Match
11,alan,alan,0.9995999,Match
12,alan,alan,0.999542,Match
13,alan,alan,0.999616,Match
14,alan,alan,0.999564,Match
15,alan,alan,0.99944633,Match
16,andy,andy,0.9914278,Match
17,andy,andy,0.99405104,Match
18,andy,chris,0.63572645,Nope
19,andy,andy,0.99661666,Match
20,andy,chris,0.9989767,Nope
21,andy,andy,0.9919059,Match
22,andy,andy,0.99785644,Match
23,andy,andy,0.9610006,Match
24,bryce,alan,0.9991509,Nope
25,bryce,bryce,0.77140576,Match
26,bryce,chris,0.5179249,Nope
27,bryce,adhy,0.9899519,Nope
28,bryce,cy,0.90555286,Nope
29,bryce,adhy,0.99050725,Nope
30,bryce,andy,0.9549917,Nope
31,bryce,andy,0.7275795,Nope
32,chris,chris,0.99870694,Match
33,chris,cy,0.98763776,Nope
34,chris,chris,0.73097867,Match
35,chris,cy,0.9919974,Nope
36,chris,adhy,0.8764913,Nope
37,chris,chris,0.7236876,Match
38,chris,andy,0.96268654,Nope
39,chris,adhy,0.9111068,Nope
40,cy,bryce,0.9918612,Nope
41,cy,cy,0.9930126,Match
42,cy,cy,0.9992174,Match
43,cy,cy,0.9984816,Match
44,cy,cy,0.99908745,Match
45,cy,gerald,0.80759215,Nope
46,cy,adhy,0.98645264,Nope
47,cy,cy,0.7174327,Match
48,gerald,alan,0.9995596,Nope
49,gerald,alan,0.9995739,Nope
50,gerald,alan,0.9995639,Nope
51,gerald,gerald,0.9848765,Match
52,gerald,alan,0.99942774,Nope
53,gerald,alan,0.9994986,Nope
54,gerald,alan,0.9995296,Nope
55,gerald,alan,0.9993368,Nope
56,jc,alan,0.99936885,Nope
57,jc,bryce,0.9968393,Nope
58,jc,cy,0.99727243,Nope
59,jc,cy,0.998547,Nope
60,jc,bryce,0.8544494,Nope
61,jc,alan,0.9995158,Nope
62,jc,alan,0.99701166,Nope
63,jc,cy,0.96637905,Nope
64,jonah,gerald,0.9205829,Nope
65,jonah,cy,0.99726105,Nope
66,jonah,cy,0.9961661,Nope
67,jonah,adhy,0.50237155,Nope
68,jonah,chris,0.8956062,Nope
69,jonah,cy,0.99455714,Nope
70,jonah,adhy,0.9709517,Nope
71,jonah,alan,0.7777427,Nope
72,qk,alan,0.91241527,Nope
73,qk,bryce,0.57584894,Nope
74,qk,gerald,0.9640866,Nope
75,qk,alan,0.7925474,Nope
76,qk,bryce,0.9919127,Nope
77,qk,gerald,0.7098227,Nope
78,qk,gerald,0.98042595,Nope
79,qk,gerald,0.9971359,Nope
