Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
jc,5,lifer wine,0.111045837,0.526612759,0.391346216,0.415566921,0.135266542,0.439780951,0.271519184,0.304514408,0.168261766,0.352267265,0.184261322,0.184005499,0.168005943,0.264009714,0.144005299,0.096003771,0.120004416,0.440013647,0.312008381,0.320009232,0.128005266,0.416017532,0.28000927,0.288012266,0.136008263,0.304013491,0.120006323,0.168005228,0.184007168,0.248009205,0.112006426,0.064002037,0.136002779,0.224007607,0.112001657,0.088004827,0.112005949
jc,3,red amulet,0.191527367,0.2475245,0.103332281,0.055997133,0.144192219,0.384003401,0.240092754,0.239811182,0.143910646,0.999664783,0.839960575,0.855754137,0.159704208,0.928247929,0.84073925,0.76854372,0.087508678,0.247499704,0.127447367,0.159991026,0.120052338,0.328076124,0.232050419,0.208023787,0.096025705,0.383950949,0.271960258,0.287925243,0.11199069,0.288091421,0.200095177,0.176100731,0.087996244,0.272577286,0.168534756,0.184581041,0.10404253
jc,5,stele isle,0.112000227,0.344008207,0.232009649,0.23200798,0.111998558,0.296007872,0.18400383,0.184009314,0.112004042,0.264011383,0.144004107,0.152007341,0.120007277,0.248006821,0.136002302,0.127999544,0.112004519,0.408015013,0.280011177,0.296010494,0.128003836,1.096075296,0.983788729,0.968071461,0.112286568,0.320385695,0.191993713,0.208099127,0.128391981,0.280002356,0.144064665,0.151610374,0.135937691,0.248048306,0.152195454,0.112110615,0.095852852
jc,3,elm upflow,0.096001625,0.368632793,0.160260201,0.272631168,0.208372593,0.240751982,0.095840693,0.032379389,0.144911289,1.455976725,1.351972103,1.311065435,0.104004622,0.392016172,0.296013594,0.288011551,0.096002579,0.368013144,0.232011557,0.272010565,0.136001587,0.38401413,0.304011822,0.248012543,0.080002308,0.224004745,0.119993448,0.144002438,0.104011297,0.288015366,0.160032511,0.184004068,0.127982855,0.279985666,0.17598772,0.152002811,0.103997946
jc,6,hammed big,0.142968178,0.319563866,0.222890854,0.176595688,0.096673012,0.312337637,0.208760977,0.215664625,0.10357666,0.264014244,0.175996304,0.160437584,0.088017941,1.336113453,1.271706343,1.248095512,0.06440711,0.287761211,0.167750835,0.223354101,0.120010376,0.26400876,0.160009861,0.143998384,0.103998899,0.400010109,0.328017235,0.296011209,0.071992874,0.224005461,0.111998558,0.152012587,0.112006903,0.232003689,0.137008429,0.119996786,0.09499526
jc,5,nomad yack,0.103014231,0.319812536,0.191725492,0.216798306,0.128087044,0.263605118,0.144092798,0.135518074,0.11951232,0.23190999,0.103508949,0.112397671,0.128401041,0.248383999,0.104461193,0.119982958,0.143922806,0.287307024,0.167571306,0.143384218,0.119735718,0.879902124,0.784377337,0.760166407,0.095524788,0.399533749,0.295534134,0.304008961,0.103999615,0.337012291,0.192000389,0.233012676,0.145011902,0.216011286,0.112005949,0.070999384,0.104005337
jc,3,rip brawns,0.128009796,0.328014851,0.208012342,0.200005054,0.120002508,0.256010532,0.144002914,0.136008024,0.112007618,0.232010126,0.144001007,0.120002508,0.088009119,0.280017853,0.184013367,0.192008734,0.096004486,0.360101461,0.280020714,0.264096975,0.080080748,0.400574207,0.31193924,0.32049346,0.088634968,0.280245543,0.200207233,0.191610575,0.080038309,0.217005491,0.112010002,0.136967182,0.104995489,0.21600008,0.128005505,0.111004591,0.087994576
jc,3,mob lordly,0.152780533,0.303931236,0.176440477,0.151150703,0.127490759,0.231550217,0.151774168,0.104059458,0.079776049,0.232280016,0.135877848,0.152503967,0.096402168,0.720142365,0.608138084,0.623740196,0.11200428,0.329023361,0.192010164,0.217019081,0.137013197,0.208002806,0.112004042,0.070989609,0.095998764,0.304005861,0.19200325,0.208007097,0.112002611,0.272031546,0.152002811,0.160028934,0.120028734,0.335897923,0.232557535,0.215869188,0.103340387
jc,4,docs clots,0.103026867,0.257281542,0.127664328,0.154254675,0.129617214,0.207656145,0.112620354,0.078038931,0.095035791,0.311138153,0.215681553,0.216102362,0.0954566,0.647354126,0.51935029,0.551897526,0.128003836,0.465013027,0.352008104,0.337009192,0.113004923,0.2800138,0.160005808,0.167008877,0.120007992,0.312013149,0.18400836,0.192005157,0.128004789,0.232005119,0.113014936,0.10400033,0.118990183,0.391003847,0.279997587,0.272013664,0.11100626
jc,6,metric jay,0.128199816,0.256157637,0.160330057,0.127957821,0.095827579,0.319823503,0.216042757,0.223995924,0.103780746,0.287630081,0.192055941,0.183849335,0.095574141,0.25667429,0.152004004,0.161100149,0.104670286,0.215736866,0.127960443,0.11106658,0.087776423,0.319517374,0.239076614,0.231740952,0.08044076,0.344926357,0.249219656,0.264485598,0.095706701,0.223563194,0.119702578,0.127856493,0.103860617,0.351810932,0.247967005,0.247950315,0.103843927
