Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
jonah,5,month lite,0.095345497,0.26337719,0.191657782,0.168031693,0.071719408,0.255945683,0.168175459,0.184226274,0.087770224,0.207270145,0.111733913,0.119499922,0.095536232,0.176180363,0.065249681,0.080644131,0.110930681,0.198650122,0.086849451,0.08771944,0.111800671,0.22339344,0.136253119,0.11159277,0.087140322,0.263735533,0.168571949,0.176595211,0.095163584,0.135223389,0.070809603,0.040059805,0.064413786,0.287966728,0.168812275,0.223552942,0.119154453
jonah,6,potmen beg,0.112738609,0.311993361,0.208465099,0.199254751,0.103528261,0.255375147,0.142959833,0.151846886,0.112415314,0.520833731,0.41638732,0.408418417,0.104446411,0.248445272,0.15144968,0.143998861,0.096995592,0.207995892,0.063997746,0.111000299,0.143998146,0.27200675,0.127997875,0.128008604,0.144008875,0.393006325,0.240005732,0.24899745,0.153000593,0.225002289,0.128001928,0.072001696,0.09700036,0.297000885,0.199999332,0.200000525,0.097001553
jonah,4,rata query,0.111037254,0.223577261,0.079036713,0.112540007,0.144540548,0.199538946,0.1595397,0.054998398,0.039999247,0.51300478,0.377005339,0.473005533,0.135999441,0.447258234,0.287007332,0.311258793,0.160250902,0.305248737,0.192248344,0.144997835,0.113000393,0.208002806,0.136012077,0.095002413,0.071990728,0.240124226,0.143989325,0.168133497,0.096134901,0.296898365,0.184915543,0.200763464,0.111982822,0.358938932,0.224921227,0.24695611,0.134017706
jonah,3,paw repipe,0.118839979,0.223065138,0.08695364,0.104225159,0.136111498,0.192637682,0.072328568,0.056526184,0.120309114,0.23993516,0.143580914,0.119626045,0.096354246,0.319826126,0.224322557,0.22347188,0.095503569,0.296115637,0.192233801,0.200612068,0.103881836,0.248578787,0.151781321,0.144696951,0.096797466,0.272166252,0.184328318,0.175368786,0.087837934,0.295393705,0.200188398,0.207555771,0.095205307,0.591171026,0.520149708,0.495965719,0.071021318
jonah,5,owlet peds,0.144004822,0.344173908,0.216302633,0.200169086,0.127871275,0.32753396,0.199894667,0.199662685,0.127639294,0.191684723,0.103639841,0.064045429,0.088044882,0.263582706,0.176502228,0.175537825,0.087080479,0.207129478,0.111784697,0.120049,0.095344782,0.175338507,0.063338518,0.079993725,0.111999989,0.200001955,0.095995903,0.088001966,0.104006052,0.329011917,0.200009108,0.225005865,0.12900281,0.216002226,0.080000877,0.086999416,0.136001348
jonah,5,spiff sulk,0.11999917,0.176003695,0.071997643,0.056004524,0.104006052,0.288007975,0.184005499,0.184001923,0.104002476,0.168001413,0.079996586,0.063998938,0.088004827,0.248018503,0.161006927,0.160013676,0.087011576,0.231004477,0.110999107,0.143992901,0.120005369,0.208562613,0.089001179,0.088557243,0.119561434,0.175566673,0.071003437,0.056005239,0.104563236,0.368565321,0.224560738,0.264002085,0.144004583,0.248003483,0.120003223,0.103998899,0.128000259
jonah,5,slots team,0.119813204,0.1680336,0.08050561,0.048220396,0.08752799,0.255001307,0.1599617,0.167473316,0.095039606,0.175025463,0.071022749,0.079985857,0.104002714,0.336008072,0.224009752,0.232005358,0.11199832,0.28799963,0.13600111,0.17600131,0.15199852,0.184000492,0.096003056,0.032001972,0.087997437,0.296999931,0.175997972,0.209002495,0.121001959,0.169002295,0.056002378,0.048000336,0.112999916,0.127997875,0.047998905,0.014997959,0.07999897
jonah,3,mum psyche,0.112039328,0.207036018,0.087078571,0.094996691,0.119957447,0.240382433,0.095958948,0.120424986,0.144423485,0.240420818,0.120436668,0.095997334,0.11998415,0.312196255,0.192410946,0.192212105,0.119785309,0.495509624,0.367351532,0.375724316,0.128158092,0.336570024,0.217352867,0.208411932,0.119217157,0.302535057,0.199449778,0.1833179,0.103085279,0.295734644,0.191608906,0.192649364,0.104125738,0.224662542,0.127598286,0.120536804,0.097064257
jonah,5,purer keen,0.120975733,0.33585763,0.256468296,0.214881897,0.079389334,0.238982439,0.135783195,0.159593105,0.103199244,0.295252085,0.216218472,0.192052841,0.079033613,0.263440609,0.152357578,0.184406996,0.111083031,0.222565174,0.087060213,0.111482143,0.135504961,0.223671436,0.111462355,0.088166475,0.112209082,0.160088778,0.072223425,0.047879696,0.087865353,0.279825211,0.167825699,0.191959858,0.111999512,0.152003765,0.065004826,0.040004253,0.08699894
jonah,6,fronds hut,0.103001118,0.319005489,0.207001209,0.216004372,0.11200428,0.208006144,0.136007309,0.096001863,0.071998835,0.279998779,0.175995111,0.207999945,0.104003668,0.248004198,0.120002747,0.14400053,0.128001451,0.192010164,0.072001934,0.064008713,0.12000823,0.232182026,0.080013514,0.112173796,0.152168512,0.22414279,0.128003359,0.071974277,0.096139431,0.27249217,0.184664488,0.176352739,0.087827682,0.191245317,0.111740828,0.103417635,0.07950449
