Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
gerald,4,seen zombi,0.108986139,0.2959764,0.228982687,0.186990261,0.066993713,0.232262135,0.155013561,0.165268421,0.077248573,0.16805172,0.111902475,0.090803146,0.056149244,0.220994711,0.164995909,0.164845467,0.055998802,0.274056435,0.186225891,0.218057632,0.087830544,0.16736412,0.123117447,0.079533577,0.044246674,0.242645264,0.164322615,0.19839859,0.078322649,0.243808985,0.165702581,0.165486336,0.078106403,0.157963276,0.101127386,0.079856873,0.05683589
gerald,6,dozens awl,0.077052593,0.167996407,0.089713812,0.090943813,0.078282595,0.200279713,0.123281479,0.121997118,0.076998234,0.266994476,0.187206268,0.189996243,0.079788208,0.124495268,0.056161642,0.04470706,0.068333626,0.212622643,0.113938808,0.144289017,0.098683834,0.18930459,0.132683039,0.090620756,0.056621552,0.263994217,0.186666965,0.207372665,0.077327251,0.243323803,0.17632556,0.165996552,0.066998243,0.135996819,0.079997778,0.068998575,0.055999041
gerald,5,flunk memo,0.087396383,0.231237173,0.154322147,0.14384079,0.076915026,0.26489234,0.186118603,0.187977314,0.078773737,0.222038984,0.166261673,0.143265247,0.055777311,0.18897295,0.164973259,0.133195639,0.023999691,0.210962296,0.165063381,0.186962605,0.045898914,0.392006397,0.314997673,0.346107483,0.077008724,0.223890781,0.122942686,0.146882057,0.100948095,0.167946577,0.087948561,0.066998482,0.079998016,0.256202459,0.189212322,0.176204443,0.066990137
gerald,4,whip alkyl,0.067025423,0.370968342,0.292901039,0.303942919,0.078067303,0.295994043,0.22965312,0.217926741,0.066340923,0.252663851,0.207628727,0.186322927,0.045035124,0.30680275,0.240704298,0.261767626,0.066098452,0.48664999,0.398327112,0.420551538,0.088322878,0.659650803,0.6151402,0.571327925,0.044510603,0.561493158,0.484501123,0.516982555,0.076992035,0.231995106,0.197568655,0.155003071,0.034426451,0.273914814,0.207493544,0.239488363,0.06642127
gerald,6,dumbly all,0.07751441,0.210995436,0.15509963,0.133481026,0.055895805,0.263891459,0.187064886,0.207995653,0.076826572,0.220823526,0.143863916,0.143996954,0.07695961,0.165027857,0.077383995,0.088068247,0.087643862,0.263569832,0.228570938,0.17592597,0.034998894,0.231994867,0.176047802,0.196995974,0.055947065,0.179235935,0.07994628,0.12328887,0.099289656,0.178996563,0.133251905,0.079706907,0.045744658,0.189291477,0.133886337,0.14354682,0.05540514
gerald,4,clay towed,0.088048697,0.231995344,0.165613651,0.143946648,0.066381693,0.200472832,0.079621553,0.134091139,0.120851278,0.211095095,0.143891811,0.090243816,0.067203283,0.242909431,0.186861038,0.175706148,0.056048393,0.220777273,0.164996386,0.16472888,0.055780888,0.286182642,0.19799614,0.230401754,0.088186502,0.188329458,0.100173235,0.100142956,0.088156223,0.307272434,0.251460314,0.219116211,0.05581212,0.231410503,0.154201031,0.175598383,0.077209473
gerald,6,burger oat,0.07694602,0.296321392,0.21800518,0.219375372,0.078316212,0.295931816,0.175790787,0.217615604,0.120141029,0.359768391,0.283406019,0.239627361,0.076362371,0.177911997,0.111886024,0.101549625,0.066025972,0.252921581,0.164364815,0.186895609,0.088556767,0.189470768,0.122961521,0.100914001,0.066509247,0.285504818,0.218908072,0.218995571,0.066596746,0.198879719,0.090289831,0.132282972,0.108589888,0.200301409,0.155721426,0.091711521,0.044579983
gerald,6,hovels gnu,0.055574656,0.253005505,0.174996376,0.197430849,0.078009129,0.274994135,0.208398104,0.196985006,0.066596031,0.146643877,0.090595484,0.080047846,0.056048393,0.199995756,0.132997036,0.143947363,0.06699872,0.179022312,0.080025673,0.112023592,0.098996639,0.200039625,0.134006739,0.101042986,0.066032887,1.0099473,0.964655399,0.943914413,0.045291901,0.2326653,0.154284477,0.1873734,0.078380823,0.253994465,0.187077284,0.175613642,0.066917181
gerald,3,loo spammy,0.099196672,0.296009779,0.228751421,0.196813107,0.067258358,0.231888533,0.176874638,0.164630175,0.055013895,0.284558535,0.218709946,0.22954464,0.065848589,0.188152313,0.100075483,0.122303724,0.08807683,0.16809988,0.102080822,0.08002305,0.066019058,0.211087465,0.112046719,0.145068407,0.099040747,0.156075716,0.111649036,0.057034969,0.04442668,0.188984632,0.122456789,0.144557953,0.066527843,0.253746271,0.197353601,0.187218428,0.05639267
gerald,5,tongs amex,0.056076765,0.307045937,0.219107628,0.250969172,0.087938309,0.284881353,0.228962183,0.196943045,0.05591917,0.157413483,0.079918861,0.101494312,0.077494621,0.317284584,0.228702068,0.239789963,0.088582516,0.296286583,0.229256392,0.207704067,0.067030191,0.222448349,0.10209012,0.155418158,0.120358229,0.231922388,0.154092312,0.111564159,0.077830076,0.231945753,0.165841341,0.154115677,0.066104412,0.252785921,0.186767817,0.186681509,0.066018105
